date,Learning_CO
2018-01-07,59
2018-01-14,40
2018-01-21,62
2018-01-28,71
2018-02-04,76
2018-02-11,91
2018-02-18,74
2018-02-25,81
2018-03-04,97
2018-03-11,66
2018-03-18,69
2018-03-25,58
2018-04-01,71
2018-04-08,90
2018-04-15,65
2018-04-22,74
2018-04-29,70
2018-05-06,54
2018-05-13,57
2018-05-20,76
2018-05-27,68
2018-06-03,44
2018-06-10,45
2018-06-17,56
2018-06-24,40
2018-07-01,41
2018-07-08,48
2018-07-15,74
2018-07-22,57
2018-07-29,50
2018-08-05,70
2018-08-12,52
2018-08-19,69
2018-08-26,75
2018-09-02,75
2018-09-09,60
2018-09-16,67
2018-09-23,57
2018-09-30,65
2018-10-07,50
2018-10-14,80
2018-10-21,41
2018-10-28,64
2018-11-04,69
2018-11-11,52
2018-11-18,45
2018-11-25,69
2018-12-02,53
2018-12-09,50
2018-12-16,52
2018-12-23,28
2018-12-30,36
2019-01-06,50
2019-01-13,55
2019-01-20,64
2019-01-27,72
2019-02-03,66
2019-02-10,69
2019-02-17,98
2019-02-24,63
2019-03-03,77
2019-03-10,95
2019-03-17,88
2019-03-24,82
2019-03-31,96
2019-04-07,88
2019-04-14,50
2019-04-21,69
2019-04-28,48
2019-05-05,52
2019-05-12,66
2019-05-19,75
2019-05-26,61
2019-06-02,65
2019-06-09,73
2019-06-16,75
2019-06-23,45
2019-06-30,56
2019-07-07,72
2019-07-14,77
2019-07-21,68
2019-07-28,63
2019-08-04,71
2019-08-11,80
2019-08-18,93
2019-08-25,82
2019-09-01,81
2019-09-08,74
2019-09-15,97
2019-09-22,83
2019-09-29,65
2019-10-06,68
2019-10-13,80
2019-10-20,85
2019-10-27,52
2019-11-03,82
2019-11-10,71
2019-11-17,71
2019-11-24,70
2019-12-01,63
2019-12-08,78
2019-12-15,46
2019-12-22,56
2019-12-29,45
2020-01-05,54
2020-01-12,82
2020-01-19,85
2020-01-26,93
2020-02-02,51
2020-02-09,66
2020-02-16,77
2020-02-23,68
2020-03-01,100
2020-03-08,97
