date,Arts_US
2018-01-07,83
2018-01-14,100
2018-01-21,87
2018-01-28,86
2018-02-04,82
2018-02-11,80
2018-02-18,82
2018-02-25,86
2018-03-04,85
2018-03-11,82
2018-03-18,82
2018-03-25,78
2018-04-01,80
2018-04-08,82
2018-04-15,83
2018-04-22,84
2018-04-29,84
2018-05-06,85
2018-05-13,82
2018-05-20,78
2018-05-27,77
2018-06-03,77
2018-06-10,73
2018-06-17,71
2018-06-24,70
2018-07-01,68
2018-07-08,70
2018-07-15,72
2018-07-22,73
2018-07-29,71
2018-08-05,73
2018-08-12,77
2018-08-19,79
2018-08-26,79
2018-09-02,82
2018-09-09,81
2018-09-16,82
2018-09-23,85
2018-09-30,84
2018-10-07,81
2018-10-14,80
2018-10-21,79
2018-10-28,81
2018-11-04,83
2018-11-11,80
2018-11-18,70
2018-11-25,86
2018-12-02,87
2018-12-09,82
2018-12-16,77
2018-12-23,62
2018-12-30,69
2019-01-06,83
2019-01-13,79
2019-01-20,77
2019-01-27,81
2019-02-03,81
2019-02-10,81
2019-02-17,81
2019-02-24,84
2019-03-03,83
2019-03-10,80
2019-03-17,79
2019-03-24,80
2019-03-31,82
2019-04-07,83
2019-04-14,75
2019-04-21,80
2019-04-28,85
2019-05-05,81
2019-05-12,79
2019-05-19,76
2019-05-26,75
2019-06-02,74
2019-06-09,68
2019-06-16,71
2019-06-23,66
2019-06-30,64
2019-07-07,71
2019-07-14,67
2019-07-21,67
2019-07-28,65
2019-08-04,66
2019-08-11,72
2019-08-18,75
2019-08-25,77
2019-09-01,76
2019-09-08,83
2019-09-15,81
2019-09-22,81
2019-09-29,81
2019-10-06,79
2019-10-13,77
2019-10-20,77
2019-10-27,75
2019-11-03,80
2019-11-10,78
2019-11-17,80
2019-11-24,68
2019-12-01,82
2019-12-08,87
2019-12-15,72
2019-12-22,60
2019-12-29,63
2020-01-05,77
2020-01-12,78
2020-01-19,78
2020-01-26,77
2020-02-02,79
2020-02-09,80
2020-02-16,80
2020-02-23,79
2020-03-01,79
2020-03-08,68
