date,Crafts_PK
2018-01-07,100
2018-01-14,62
2018-01-21,87
2018-01-28,88
2018-02-04,68
2018-02-11,86
2018-02-18,84
2018-02-25,83
2018-03-04,63
2018-03-11,70
2018-03-18,89
2018-03-25,78
2018-04-01,73
2018-04-08,84
2018-04-15,87
2018-04-22,70
2018-04-29,71
2018-05-06,79
2018-05-13,86
2018-05-20,71
2018-05-27,66
2018-06-03,65
2018-06-10,63
2018-06-17,40
2018-06-24,62
2018-07-01,64
2018-07-08,74
2018-07-15,63
2018-07-22,71
2018-07-29,78
2018-08-05,76
2018-08-12,63
2018-08-19,66
2018-08-26,75
2018-09-02,65
2018-09-09,72
2018-09-16,84
2018-09-23,70
2018-09-30,88
2018-10-07,77
2018-10-14,80
2018-10-21,66
2018-10-28,80
2018-11-04,64
2018-11-11,78
2018-11-18,67
2018-11-25,67
2018-12-02,58
2018-12-09,77
2018-12-16,85
2018-12-23,61
2018-12-30,58
2019-01-06,68
2019-01-13,78
2019-01-20,90
2019-01-27,72
2019-02-03,68
2019-02-10,69
2019-02-17,69
2019-02-24,59
2019-03-03,77
2019-03-10,83
2019-03-17,61
2019-03-24,76
2019-03-31,61
2019-04-07,61
2019-04-14,62
2019-04-21,75
2019-04-28,54
2019-05-05,80
2019-05-12,62
2019-05-19,62
2019-05-26,63
2019-06-02,56
2019-06-09,32
2019-06-16,72
2019-06-23,49
2019-06-30,67
2019-07-07,56
2019-07-14,65
2019-07-21,51
2019-07-28,60
2019-08-04,64
2019-08-11,47
2019-08-18,58
2019-08-25,65
2019-09-01,52
2019-09-08,77
2019-09-15,56
2019-09-22,77
2019-09-29,91
2019-10-06,72
2019-10-13,72
2019-10-20,78
2019-10-27,60
2019-11-03,46
2019-11-10,61
2019-11-17,66
2019-11-24,72
2019-12-01,69
2019-12-08,45
2019-12-15,66
2019-12-22,64
2019-12-29,41
2020-01-05,45
2020-01-12,54
2020-01-19,54
2020-01-26,61
2020-02-02,69
2020-02-09,58
2020-02-16,64
2020-02-23,46
2020-03-01,44
2020-03-08,59
