date,Cooking_SE
2018-01-07,65
2018-01-14,62
2018-01-21,51
2018-01-28,66
2018-02-04,71
2018-02-11,57
2018-02-18,70
2018-02-25,47
2018-03-04,78
2018-03-11,71
2018-03-18,46
2018-03-25,65
2018-04-01,65
2018-04-08,49
2018-04-15,42
2018-04-22,41
2018-04-29,45
2018-05-06,44
2018-05-13,67
2018-05-20,50
2018-05-27,42
2018-06-03,49
2018-06-10,43
2018-06-17,42
2018-06-24,46
2018-07-01,42
2018-07-08,62
2018-07-15,63
2018-07-22,74
2018-07-29,47
2018-08-05,49
2018-08-12,78
2018-08-19,47
2018-08-26,76
2018-09-02,61
2018-09-09,61
2018-09-16,64
2018-09-23,46
2018-09-30,69
2018-10-07,54
2018-10-14,41
2018-10-21,52
2018-10-28,50
2018-11-04,65
2018-11-11,44
2018-11-18,71
2018-11-25,56
2018-12-02,60
2018-12-09,70
2018-12-16,73
2018-12-23,68
2018-12-30,73
2019-01-06,65
2019-01-13,55
2019-01-20,67
2019-01-27,46
2019-02-03,44
2019-02-10,53
2019-02-17,55
2019-02-24,56
2019-03-03,50
2019-03-10,69
2019-03-17,44
2019-03-24,38
2019-03-31,44
2019-04-07,62
2019-04-14,54
2019-04-21,46
2019-04-28,55
2019-05-05,46
2019-05-12,43
2019-05-19,30
2019-05-26,41
2019-06-02,48
2019-06-09,52
2019-06-16,60
2019-06-23,65
2019-06-30,67
2019-07-07,64
2019-07-14,65
2019-07-21,54
2019-07-28,60
2019-08-04,43
2019-08-11,62
2019-08-18,70
2019-08-25,81
2019-09-01,69
2019-09-08,71
2019-09-15,67
2019-09-22,100
2019-09-29,59
2019-10-06,69
2019-10-13,60
2019-10-20,55
2019-10-27,66
2019-11-03,59
2019-11-10,61
2019-11-17,58
2019-11-24,50
2019-12-01,55
2019-12-08,53
2019-12-15,60
2019-12-22,55
2019-12-29,75
2020-01-05,75
2020-01-12,54
2020-01-19,58
2020-01-26,67
2020-02-02,82
2020-02-09,77
2020-02-16,57
2020-02-23,64
2020-03-01,75
2020-03-08,62
