date,Cooking_BE
2018-01-07,42
2018-01-14,52
2018-01-21,53
2018-01-28,47
2018-02-04,54
2018-02-11,56
2018-02-18,55
2018-02-25,52
2018-03-04,49
2018-03-11,54
2018-03-18,46
2018-03-25,63
2018-04-01,74
2018-04-08,50
2018-04-15,49
2018-04-22,60
2018-04-29,67
2018-05-06,63
2018-05-13,54
2018-05-20,43
2018-05-27,56
2018-06-03,42
2018-06-10,53
2018-06-17,33
2018-06-24,34
2018-07-01,37
2018-07-08,39
2018-07-15,46
2018-07-22,47
2018-07-29,41
2018-08-05,46
2018-08-12,50
2018-08-19,53
2018-08-26,54
2018-09-02,50
2018-09-09,52
2018-09-16,51
2018-09-23,58
2018-09-30,51
2018-10-07,52
2018-10-14,60
2018-10-21,56
2018-10-28,58
2018-11-04,61
2018-11-11,58
2018-11-18,60
2018-11-25,60
2018-12-02,55
2018-12-09,61
2018-12-16,58
2018-12-23,100
2018-12-30,76
2019-01-06,60
2019-01-13,59
2019-01-20,57
2019-01-27,51
2019-02-03,48
2019-02-10,52
2019-02-17,48
2019-02-24,42
2019-03-03,56
2019-03-10,55
2019-03-17,61
2019-03-24,50
2019-03-31,57
2019-04-07,64
2019-04-14,69
2019-04-21,62
2019-04-28,58
2019-05-05,56
2019-05-12,63
2019-05-19,57
2019-05-26,55
2019-06-02,48
2019-06-09,40
2019-06-16,45
2019-06-23,42
2019-06-30,42
2019-07-07,55
2019-07-14,49
2019-07-21,46
2019-07-28,45
2019-08-04,57
2019-08-11,53
2019-08-18,48
2019-08-25,60
2019-09-01,51
2019-09-08,65
2019-09-15,49
2019-09-22,57
2019-09-29,50
2019-10-06,51
2019-10-13,60
2019-10-20,49
2019-10-27,60
2019-11-03,58
2019-11-10,70
2019-11-17,62
2019-11-24,56
2019-12-01,57
2019-12-08,50
2019-12-15,58
2019-12-22,95
2019-12-29,85
2020-01-05,60
2020-01-12,64
2020-01-19,63
2020-01-26,58
2020-02-02,67
2020-02-09,57
2020-02-16,60
2020-02-23,60
2020-03-01,62
2020-03-08,53
