date,Arts_PH
2018-01-07,66
2018-01-14,58
2018-01-21,62
2018-01-28,69
2018-02-04,65
2018-02-11,56
2018-02-18,61
2018-02-25,62
2018-03-04,60
2018-03-11,47
2018-03-18,41
2018-03-25,40
2018-04-01,35
2018-04-08,41
2018-04-15,36
2018-04-22,36
2018-04-29,32
2018-05-06,32
2018-05-13,33
2018-05-20,35
2018-05-27,34
2018-06-03,70
2018-06-10,64
2018-06-17,92
2018-06-24,100
2018-07-01,88
2018-07-08,87
2018-07-15,75
2018-07-22,73
2018-07-29,86
2018-08-05,83
2018-08-12,70
2018-08-19,69
2018-08-26,66
2018-09-02,69
2018-09-09,71
2018-09-16,68
2018-09-23,69
2018-09-30,66
2018-10-07,72
2018-10-14,64
2018-10-21,51
2018-10-28,42
2018-11-04,62
2018-11-11,89
2018-11-18,92
2018-11-25,79
2018-12-02,76
2018-12-09,54
2018-12-16,39
2018-12-23,33
2018-12-30,43
2019-01-06,66
2019-01-13,76
2019-01-20,69
2019-01-27,73
2019-02-03,68
2019-02-10,65
2019-02-17,64
2019-02-24,60
2019-03-03,61
2019-03-10,60
2019-03-17,47
2019-03-24,42
2019-03-31,36
2019-04-07,37
2019-04-14,33
2019-04-21,38
2019-04-28,36
2019-05-05,37
2019-05-12,32
2019-05-19,33
2019-05-26,33
2019-06-02,69
2019-06-09,75
2019-06-16,94
2019-06-23,95
2019-06-30,88
2019-07-07,95
2019-07-14,76
2019-07-21,73
2019-07-28,73
2019-08-04,82
2019-08-11,76
2019-08-18,75
2019-08-25,68
2019-09-01,76
2019-09-08,76
2019-09-15,76
2019-09-22,68
2019-09-29,65
2019-10-06,67
2019-10-13,72
2019-10-20,50
2019-10-27,41
2019-11-03,66
2019-11-10,71
2019-11-17,81
2019-11-24,74
2019-12-01,62
2019-12-08,54
2019-12-15,39
2019-12-22,26
2019-12-29,36
2020-01-05,62
2020-01-12,67
2020-01-19,69
2020-01-26,74
2020-02-02,74
2020-02-09,69
2020-02-16,72
2020-02-23,65
2020-03-01,62
2020-03-08,58
