date,Learning_DK
2018-01-07,58
2018-01-14,71
2018-01-21,62
2018-01-28,88
2018-02-04,77
2018-02-11,41
2018-02-18,69
2018-02-25,60
2018-03-04,62
2018-03-11,58
2018-03-18,73
2018-03-25,51
2018-04-01,73
2018-04-08,59
2018-04-15,62
2018-04-22,52
2018-04-29,65
2018-05-06,44
2018-05-13,68
2018-05-20,44
2018-05-27,60
2018-06-03,47
2018-06-10,65
2018-06-17,31
2018-06-24,67
2018-07-01,40
2018-07-08,34
2018-07-15,21
2018-07-22,54
2018-07-29,53
2018-08-05,70
2018-08-12,61
2018-08-19,52
2018-08-26,72
2018-09-02,82
2018-09-09,77
2018-09-16,53
2018-09-23,87
2018-09-30,55
2018-10-07,53
2018-10-14,53
2018-10-21,57
2018-10-28,52
2018-11-04,55
2018-11-11,84
2018-11-18,67
2018-11-25,65
2018-12-02,46
2018-12-09,72
2018-12-16,58
2018-12-23,56
2018-12-30,46
2019-01-06,64
2019-01-13,51
2019-01-20,77
2019-01-27,66
2019-02-03,82
2019-02-10,68
2019-02-17,63
2019-02-24,71
2019-03-03,59
2019-03-10,51
2019-03-17,65
2019-03-24,77
2019-03-31,63
2019-04-07,73
2019-04-14,48
2019-04-21,45
2019-04-28,50
2019-05-05,47
2019-05-12,59
2019-05-19,44
2019-05-26,44
2019-06-02,76
2019-06-09,76
2019-06-16,39
2019-06-23,68
2019-06-30,39
2019-07-07,39
2019-07-14,43
2019-07-21,32
2019-07-28,37
2019-08-04,66
2019-08-11,62
2019-08-18,69
2019-08-25,54
2019-09-01,100
2019-09-08,82
2019-09-15,70
2019-09-22,71
2019-09-29,92
2019-10-06,52
2019-10-13,60
2019-10-20,72
2019-10-27,68
2019-11-03,70
2019-11-10,60
2019-11-17,66
2019-11-24,74
2019-12-01,77
2019-12-08,62
2019-12-15,64
2019-12-22,21
2019-12-29,48
2020-01-05,71
2020-01-12,58
2020-01-19,55
2020-01-26,45
2020-02-02,90
2020-02-09,91
2020-02-16,70
2020-02-23,82
2020-03-01,56
2020-03-08,67
