date,Music_GB
2018-01-07,95
2018-01-14,90
2018-01-21,95
2018-01-28,93
2018-02-04,93
2018-02-11,89
2018-02-18,91
2018-02-25,82
2018-03-04,92
2018-03-11,90
2018-03-18,88
2018-03-25,93
2018-04-01,82
2018-04-08,85
2018-04-15,90
2018-04-22,90
2018-04-29,92
2018-05-06,93
2018-05-13,95
2018-05-20,94
2018-05-27,91
2018-06-03,90
2018-06-10,88
2018-06-17,88
2018-06-24,88
2018-07-01,85
2018-07-08,86
2018-07-15,95
2018-07-22,85
2018-07-29,87
2018-08-05,80
2018-08-12,84
2018-08-19,84
2018-08-26,83
2018-09-02,91
2018-09-09,89
2018-09-16,89
2018-09-23,92
2018-09-30,88
2018-10-07,90
2018-10-14,89
2018-10-21,82
2018-10-28,90
2018-11-04,90
2018-11-11,98
2018-11-18,92
2018-11-25,93
2018-12-02,97
2018-12-09,93
2018-12-16,90
2018-12-23,100
2018-12-30,86
2019-01-06,84
2019-01-13,90
2019-01-20,89
2019-01-27,83
2019-02-03,87
2019-02-10,86
2019-02-17,81
2019-02-24,82
2019-03-03,89
2019-03-10,81
2019-03-17,90
2019-03-24,84
2019-03-31,83
2019-04-07,79
2019-04-14,77
2019-04-21,85
2019-04-28,88
2019-05-05,87
2019-05-12,84
2019-05-19,83
2019-05-26,82
2019-06-02,86
2019-06-09,90
2019-06-16,90
2019-06-23,88
2019-06-30,92
2019-07-07,93
2019-07-14,90
2019-07-21,84
2019-07-28,84
2019-08-04,87
2019-08-11,86
2019-08-18,83
2019-08-25,83
2019-09-01,79
2019-09-08,87
2019-09-15,84
2019-09-22,88
2019-09-29,85
2019-10-06,88
2019-10-13,88
2019-10-20,86
2019-10-27,85
2019-11-03,93
2019-11-10,90
2019-11-17,83
2019-11-24,91
2019-12-01,96
2019-12-08,91
2019-12-15,88
2019-12-22,95
2019-12-29,88
2020-01-05,84
2020-01-12,90
2020-01-19,88
2020-01-26,86
2020-02-02,89
2020-02-09,83
2020-02-16,84
2020-02-23,82
2020-03-01,82
2020-03-08,79
