date,Crafts_PH
2018-01-07,66
2018-01-14,63
2018-01-21,57
2018-01-28,64
2018-02-04,73
2018-02-11,62
2018-02-18,57
2018-02-25,63
2018-03-04,45
2018-03-11,46
2018-03-18,53
2018-03-25,37
2018-04-01,47
2018-04-08,59
2018-04-15,48
2018-04-22,45
2018-04-29,44
2018-05-06,41
2018-05-13,49
2018-05-20,43
2018-05-27,39
2018-06-03,55
2018-06-10,64
2018-06-17,51
2018-06-24,54
2018-07-01,62
2018-07-08,58
2018-07-15,75
2018-07-22,68
2018-07-29,67
2018-08-05,69
2018-08-12,70
2018-08-19,61
2018-08-26,61
2018-09-02,71
2018-09-09,60
2018-09-16,70
2018-09-23,73
2018-09-30,58
2018-10-07,71
2018-10-14,62
2018-10-21,66
2018-10-28,45
2018-11-04,100
2018-11-11,85
2018-11-18,88
2018-11-25,80
2018-12-02,77
2018-12-09,84
2018-12-16,54
2018-12-23,56
2018-12-30,50
2019-01-06,60
2019-01-13,72
2019-01-20,79
2019-01-27,75
2019-02-03,71
2019-02-10,74
2019-02-17,72
2019-02-24,66
2019-03-03,60
2019-03-10,55
2019-03-17,48
2019-03-24,49
2019-03-31,38
2019-04-07,44
2019-04-14,55
2019-04-21,40
2019-04-28,51
2019-05-05,44
2019-05-12,54
2019-05-19,55
2019-05-26,32
2019-06-02,51
2019-06-09,59
2019-06-16,57
2019-06-23,58
2019-06-30,61
2019-07-07,80
2019-07-14,59
2019-07-21,66
2019-07-28,71
2019-08-04,59
2019-08-11,65
2019-08-18,63
2019-08-25,62
2019-09-01,61
2019-09-08,64
2019-09-15,50
2019-09-22,59
2019-09-29,71
2019-10-06,70
2019-10-13,56
2019-10-20,68
2019-10-27,50
2019-11-03,54
2019-11-10,59
2019-11-17,61
2019-11-24,60
2019-12-01,65
2019-12-08,41
2019-12-15,39
2019-12-22,37
2019-12-29,34
2020-01-05,50
2020-01-12,47
2020-01-19,56
2020-01-26,49
2020-02-02,65
2020-02-09,51
2020-02-16,68
2020-02-23,43
2020-03-01,51
2020-03-08,44
