date,Collecting_DE
2018-01-07,35
2018-01-14,30
2018-01-21,44
2018-01-28,38
2018-02-04,29
2018-02-11,41
2018-02-18,50
2018-02-25,36
2018-03-04,36
2018-03-11,42
2018-03-18,38
2018-03-25,35
2018-04-01,28
2018-04-08,37
2018-04-15,32
2018-04-22,39
2018-04-29,40
2018-05-06,31
2018-05-13,33
2018-05-20,29
2018-05-27,43
2018-06-03,44
2018-06-10,37
2018-06-17,34
2018-06-24,32
2018-07-01,36
2018-07-08,33
2018-07-15,35
2018-07-22,35
2018-07-29,35
2018-08-05,36
2018-08-12,33
2018-08-19,42
2018-08-26,48
2018-09-02,39
2018-09-09,80
2018-09-16,71
2018-09-23,64
2018-09-30,63
2018-10-07,52
2018-10-14,50
2018-10-21,47
2018-10-28,45
2018-11-04,55
2018-11-11,43
2018-11-18,38
2018-11-25,44
2018-12-02,39
2018-12-09,39
2018-12-16,39
2018-12-23,50
2018-12-30,40
2019-01-06,35
2019-01-13,32
2019-01-20,47
2019-01-27,36
2019-02-03,41
2019-02-10,43
2019-02-17,50
2019-02-24,40
2019-03-03,42
2019-03-10,38
2019-03-17,48
2019-03-24,51
2019-03-31,34
2019-04-07,35
2019-04-14,41
2019-04-21,42
2019-04-28,32
2019-05-05,31
2019-05-12,40
2019-05-19,36
2019-05-26,28
2019-06-02,45
2019-06-09,37
2019-06-16,51
2019-06-23,41
2019-06-30,40
2019-07-07,43
2019-07-14,44
2019-07-21,39
2019-07-28,40
2019-08-04,44
2019-08-11,48
2019-08-18,53
2019-08-25,39
2019-09-01,53
2019-09-08,53
2019-09-15,67
2019-09-22,81
2019-09-29,88
2019-10-06,81
2019-10-13,76
2019-10-20,100
2019-10-27,81
2019-11-03,47
2019-11-10,45
2019-11-17,39
2019-11-24,45
2019-12-01,35
2019-12-08,47
2019-12-15,37
2019-12-22,39
2019-12-29,41
2020-01-05,47
2020-01-12,45
2020-01-19,40
2020-01-26,37
2020-02-02,36
2020-02-09,38
2020-02-16,40
2020-02-23,37
2020-03-01,34
2020-03-08,32
