date,Collecting_JP
2018-01-07,52
2018-01-14,53
2018-01-21,55
2018-01-28,49
2018-02-04,69
2018-02-11,71
2018-02-18,61
2018-02-25,58
2018-03-04,64
2018-03-11,54
2018-03-18,52
2018-03-25,57
2018-04-01,54
2018-04-08,53
2018-04-15,49
2018-04-22,55
2018-04-29,44
2018-05-06,49
2018-05-13,54
2018-05-20,48
2018-05-27,49
2018-06-03,52
2018-06-10,54
2018-06-17,48
2018-06-24,47
2018-07-01,47
2018-07-08,49
2018-07-15,50
2018-07-22,51
2018-07-29,48
2018-08-05,50
2018-08-12,47
2018-08-19,45
2018-08-26,55
2018-09-02,54
2018-09-09,54
2018-09-16,53
2018-09-23,57
2018-09-30,56
2018-10-07,52
2018-10-14,56
2018-10-21,59
2018-10-28,56
2018-11-04,60
2018-11-11,61
2018-11-18,63
2018-11-25,58
2018-12-02,55
2018-12-09,51
2018-12-16,57
2018-12-23,54
2018-12-30,49
2019-01-06,59
2019-01-13,54
2019-01-20,54
2019-01-27,11
2019-02-03,2
2019-02-10,2
2019-02-17,2
2019-02-24,1
2019-03-03,2
2019-03-10,2
2019-03-17,2
2019-03-24,1
2019-03-31,44
2019-04-07,51
2019-04-14,53
2019-04-21,47
2019-04-28,54
2019-05-05,52
2019-05-12,56
2019-05-19,51
2019-05-26,50
2019-06-02,53
2019-06-09,53
2019-06-16,56
2019-06-23,55
2019-06-30,54
2019-07-07,51
2019-07-14,54
2019-07-21,51
2019-07-28,59
2019-08-04,56
2019-08-11,54
2019-08-18,55
2019-08-25,54
2019-09-01,54
2019-09-08,55
2019-09-15,58
2019-09-22,53
2019-09-29,53
2019-10-06,49
2019-10-13,52
2019-10-20,53
2019-10-27,55
2019-11-03,57
2019-11-10,56
2019-11-17,56
2019-11-24,56
2019-12-01,54
2019-12-08,56
2019-12-15,56
2019-12-22,52
2019-12-29,49
2020-01-05,53
2020-01-12,59
2020-01-19,57
2020-01-26,51
2020-02-02,75
2020-02-09,60
2020-02-16,54
2020-02-23,57
2020-03-01,100
2020-03-08,59
