date,Learning_NL
2018-01-07,91
2018-01-14,69
2018-01-21,72
2018-01-28,91
2018-02-04,78
2018-02-11,80
2018-02-18,66
2018-02-25,92
2018-03-04,89
2018-03-11,94
2018-03-18,63
2018-03-25,85
2018-04-01,62
2018-04-08,72
2018-04-15,84
2018-04-22,76
2018-04-29,61
2018-05-06,72
2018-05-13,74
2018-05-20,69
2018-05-27,67
2018-06-03,84
2018-06-10,82
2018-06-17,89
2018-06-24,61
2018-07-01,81
2018-07-08,69
2018-07-15,69
2018-07-22,43
2018-07-29,71
2018-08-05,66
2018-08-12,65
2018-08-19,67
2018-08-26,70
2018-09-02,79
2018-09-09,94
2018-09-16,90
2018-09-23,94
2018-09-30,80
2018-10-07,87
2018-10-14,97
2018-10-21,85
2018-10-28,84
2018-11-04,86
2018-11-11,89
2018-11-18,63
2018-11-25,70
2018-12-02,82
2018-12-09,76
2018-12-16,76
2018-12-23,41
2018-12-30,63
2019-01-06,86
2019-01-13,84
2019-01-20,91
2019-01-27,85
2019-02-03,98
2019-02-10,74
2019-02-17,79
2019-02-24,82
2019-03-03,100
2019-03-10,82
2019-03-17,83
2019-03-24,83
2019-03-31,87
2019-04-07,70
2019-04-14,80
2019-04-21,59
2019-04-28,71
2019-05-05,81
2019-05-12,74
2019-05-19,73
2019-05-26,64
2019-06-02,66
2019-06-09,58
2019-06-16,80
2019-06-23,80
2019-06-30,79
2019-07-07,78
2019-07-14,56
2019-07-21,45
2019-07-28,60
2019-08-04,57
2019-08-11,56
2019-08-18,64
2019-08-25,68
2019-09-01,90
2019-09-08,90
2019-09-15,100
2019-09-22,84
2019-09-29,85
2019-10-06,95
2019-10-13,82
2019-10-20,72
2019-10-27,72
2019-11-03,66
2019-11-10,86
2019-11-17,81
2019-11-24,81
2019-12-01,72
2019-12-08,89
2019-12-15,76
2019-12-22,60
2019-12-29,47
2020-01-05,96
2020-01-12,87
2020-01-19,88
2020-01-26,91
2020-02-02,82
2020-02-09,90
2020-02-16,72
2020-02-23,79
2020-03-01,92
2020-03-08,76
