date,Music_AT
2018-01-07,79
2018-01-14,77
2018-01-21,81
2018-01-28,82
2018-02-04,85
2018-02-11,76
2018-02-18,78
2018-02-25,83
2018-03-04,89
2018-03-11,89
2018-03-18,79
2018-03-25,82
2018-04-01,73
2018-04-08,77
2018-04-15,82
2018-04-22,95
2018-04-29,78
2018-05-06,80
2018-05-13,72
2018-05-20,83
2018-05-27,80
2018-06-03,81
2018-06-10,79
2018-06-17,78
2018-06-24,79
2018-07-01,68
2018-07-08,81
2018-07-15,81
2018-07-22,76
2018-07-29,72
2018-08-05,74
2018-08-12,78
2018-08-19,81
2018-08-26,71
2018-09-02,75
2018-09-09,78
2018-09-16,75
2018-09-23,70
2018-09-30,80
2018-10-07,73
2018-10-14,75
2018-10-21,100
2018-10-28,87
2018-11-04,82
2018-11-11,84
2018-11-18,89
2018-11-25,87
2018-12-02,88
2018-12-09,77
2018-12-16,71
2018-12-23,100
2018-12-30,80
2019-01-06,70
2019-01-13,76
2019-01-20,81
2019-01-27,78
2019-02-03,82
2019-02-10,76
2019-02-17,80
2019-02-24,80
2019-03-03,72
2019-03-10,86
2019-03-17,81
2019-03-24,80
2019-03-31,65
2019-04-07,68
2019-04-14,72
2019-04-21,72
2019-04-28,72
2019-05-05,71
2019-05-12,68
2019-05-19,59
2019-05-26,65
2019-06-02,68
2019-06-09,67
2019-06-16,73
2019-06-23,77
2019-06-30,74
2019-07-07,71
2019-07-14,65
2019-07-21,70
2019-07-28,67
2019-08-04,72
2019-08-11,72
2019-08-18,77
2019-08-25,70
2019-09-01,68
2019-09-08,65
2019-09-15,72
2019-09-22,70
2019-09-29,74
2019-10-06,74
2019-10-13,73
2019-10-20,70
2019-10-27,71
2019-11-03,73
2019-11-10,86
2019-11-17,78
2019-11-24,73
2019-12-01,74
2019-12-08,71
2019-12-15,83
2019-12-22,92
2019-12-29,73
2020-01-05,71
2020-01-12,79
2020-01-19,89
2020-01-26,73
2020-02-02,76
2020-02-09,81
2020-02-16,72
2020-02-23,78
2020-03-01,77
2020-03-08,58
