date,Learning_NO
2018-01-07,93
2018-01-14,82
2018-01-21,73
2018-01-28,75
2018-02-04,85
2018-02-11,68
2018-02-18,73
2018-02-25,76
2018-03-04,81
2018-03-11,50
2018-03-18,83
2018-03-25,36
2018-04-01,54
2018-04-08,92
2018-04-15,62
2018-04-22,76
2018-04-29,52
2018-05-06,43
2018-05-13,60
2018-05-20,51
2018-05-27,64
2018-06-03,78
2018-06-10,69
2018-06-17,64
2018-06-24,45
2018-07-01,43
2018-07-08,41
2018-07-15,83
2018-07-22,40
2018-07-29,35
2018-08-05,71
2018-08-12,66
2018-08-19,46
2018-08-26,62
2018-09-02,98
2018-09-09,71
2018-09-16,53
2018-09-23,70
2018-09-30,68
2018-10-07,53
2018-10-14,66
2018-10-21,84
2018-10-28,61
2018-11-04,70
2018-11-11,52
2018-11-18,49
2018-11-25,71
2018-12-02,79
2018-12-09,63
2018-12-16,48
2018-12-23,34
2018-12-30,53
2019-01-06,66
2019-01-13,50
2019-01-20,76
2019-01-27,73
2019-02-03,54
2019-02-10,60
2019-02-17,64
2019-02-24,51
2019-03-03,58
2019-03-10,62
2019-03-17,65
2019-03-24,64
2019-03-31,38
2019-04-07,67
2019-04-14,31
2019-04-21,60
2019-04-28,60
2019-05-05,85
2019-05-12,35
2019-05-19,70
2019-05-26,56
2019-06-02,54
2019-06-09,64
2019-06-16,49
2019-06-23,56
2019-06-30,38
2019-07-07,44
2019-07-14,48
2019-07-21,45
2019-07-28,36
2019-08-04,41
2019-08-11,66
2019-08-18,71
2019-08-25,86
2019-09-01,72
2019-09-08,70
2019-09-15,66
2019-09-22,69
2019-09-29,73
2019-10-06,72
2019-10-13,76
2019-10-20,81
2019-10-27,65
2019-11-03,78
2019-11-10,45
2019-11-17,68
2019-11-24,75
2019-12-01,62
2019-12-08,51
2019-12-15,55
2019-12-22,36
2019-12-29,51
2020-01-05,46
2020-01-12,86
2020-01-19,85
2020-01-26,62
2020-02-02,100
2020-02-09,50
2020-02-16,56
2020-02-23,63
2020-03-01,60
2020-03-08,60
