date,Music_PK
2018-01-07,82
2018-01-14,83
2018-01-21,87
2018-01-28,100
2018-02-04,83
2018-02-11,91
2018-02-18,81
2018-02-25,88
2018-03-04,92
2018-03-11,82
2018-03-18,86
2018-03-25,94
2018-04-01,84
2018-04-08,88
2018-04-15,82
2018-04-22,87
2018-04-29,87
2018-05-06,82
2018-05-13,69
2018-05-20,73
2018-05-27,77
2018-06-03,84
2018-06-10,73
2018-06-17,73
2018-06-24,66
2018-07-01,76
2018-07-08,73
2018-07-15,63
2018-07-22,67
2018-07-29,82
2018-08-05,85
2018-08-12,82
2018-08-19,68
2018-08-26,74
2018-09-02,71
2018-09-09,79
2018-09-16,63
2018-09-23,67
2018-09-30,75
2018-10-07,63
2018-10-14,75
2018-10-21,78
2018-10-28,74
2018-11-04,62
2018-11-11,74
2018-11-18,68
2018-11-25,84
2018-12-02,75
2018-12-09,89
2018-12-16,92
2018-12-23,93
2018-12-30,81
2019-01-06,75
2019-01-13,79
2019-01-20,85
2019-01-27,72
2019-02-03,76
2019-02-10,86
2019-02-17,77
2019-02-24,64
2019-03-03,69
2019-03-10,78
2019-03-17,82
2019-03-24,76
2019-03-31,82
2019-04-07,77
2019-04-14,68
2019-04-21,77
2019-04-28,80
2019-05-05,59
2019-05-12,55
2019-05-19,74
2019-05-26,72
2019-06-02,68
2019-06-09,71
2019-06-16,60
2019-06-23,70
2019-06-30,60
2019-07-07,80
2019-07-14,78
2019-07-21,75
2019-07-28,70
2019-08-04,73
2019-08-11,79
2019-08-18,76
2019-08-25,73
2019-09-01,56
2019-09-08,61
2019-09-15,66
2019-09-22,67
2019-09-29,60
2019-10-06,77
2019-10-13,86
2019-10-20,81
2019-10-27,70
2019-11-03,74
2019-11-10,76
2019-11-17,69
2019-11-24,83
2019-12-01,77
2019-12-08,67
2019-12-15,66
2019-12-22,78
2019-12-29,74
2020-01-05,69
2020-01-12,71
2020-01-19,72
2020-01-26,81
2020-02-02,71
2020-02-09,68
2020-02-16,77
2020-02-23,74
2020-03-01,65
2020-03-08,69
