date,Crafts_JP
2018-01-07,72
2018-01-14,78
2018-01-21,72
2018-01-28,77
2018-02-04,77
2018-02-11,71
2018-02-18,67
2018-02-25,64
2018-03-04,63
2018-03-11,90
2018-03-18,75
2018-03-25,53
2018-04-01,87
2018-04-08,73
2018-04-15,89
2018-04-22,80
2018-04-29,80
2018-05-06,81
2018-05-13,74
2018-05-20,100
2018-05-27,69
2018-06-03,87
2018-06-10,60
2018-06-17,79
2018-06-24,71
2018-07-01,63
2018-07-08,77
2018-07-15,78
2018-07-22,62
2018-07-29,72
2018-08-05,63
2018-08-12,65
2018-08-19,89
2018-08-26,81
2018-09-02,62
2018-09-09,85
2018-09-16,71
2018-09-23,81
2018-09-30,85
2018-10-07,67
2018-10-14,80
2018-10-21,77
2018-10-28,86
2018-11-04,77
2018-11-11,84
2018-11-18,76
2018-11-25,78
2018-12-02,64
2018-12-09,74
2018-12-16,50
2018-12-23,67
2018-12-30,53
2019-01-06,68
2019-01-13,82
2019-01-20,75
2019-01-27,85
2019-02-03,87
2019-02-10,87
2019-02-17,96
2019-02-24,87
2019-03-03,92
2019-03-10,74
2019-03-17,74
2019-03-24,65
2019-03-31,64
2019-04-07,85
2019-04-14,91
2019-04-21,88
2019-04-28,50
2019-05-05,63
2019-05-12,80
2019-05-19,64
2019-05-26,80
2019-06-02,76
2019-06-09,73
2019-06-16,65
2019-06-23,79
2019-06-30,77
2019-07-07,84
2019-07-14,72
2019-07-21,69
2019-07-28,88
2019-08-04,68
2019-08-11,84
2019-08-18,78
2019-08-25,80
2019-09-01,65
2019-09-08,65
2019-09-15,94
2019-09-22,86
2019-09-29,67
2019-10-06,63
2019-10-13,83
2019-10-20,84
2019-10-27,79
2019-11-03,89
2019-11-10,80
2019-11-17,76
2019-11-24,92
2019-12-01,80
2019-12-08,69
2019-12-15,66
2019-12-22,66
2019-12-29,58
2020-01-05,70
2020-01-12,83
2020-01-19,71
2020-01-26,76
2020-02-02,73
2020-02-09,56
2020-02-16,68
2020-02-23,74
2020-03-01,66
2020-03-08,66
