date,Performing_Art_ES
2018-01-07,44
2018-01-14,90
2018-01-21,58
2018-01-28,57
2018-02-04,62
2018-02-11,87
2018-02-18,58
2018-02-25,83
2018-03-04,47
2018-03-11,69
2018-03-18,58
2018-03-25,75
2018-04-01,81
2018-04-08,85
2018-04-15,93
2018-04-22,52
2018-04-29,99
2018-05-06,90
2018-05-13,54
2018-05-20,57
2018-05-27,52
2018-06-03,34
2018-06-10,50
2018-06-17,64
2018-06-24,100
2018-07-01,55
2018-07-08,67
2018-07-15,47
2018-07-22,47
2018-07-29,75
2018-08-05,60
2018-08-12,62
2018-08-19,48
2018-08-26,28
2018-09-02,35
2018-09-09,61
2018-09-16,52
2018-09-23,52
2018-09-30,96
2018-10-07,76
2018-10-14,81
2018-10-21,74
2018-10-28,36
2018-11-04,67
2018-11-11,38
2018-11-18,62
2018-11-25,48
2018-12-02,59
2018-12-09,58
2018-12-16,77
2018-12-23,36
2018-12-30,73
2019-01-06,76
2019-01-13,68
2019-01-20,61
2019-01-27,69
2019-02-03,69
2019-02-10,72
2019-02-17,48
2019-02-24,47
2019-03-03,52
2019-03-10,66
2019-03-17,48
2019-03-24,66
2019-03-31,59
2019-04-07,46
2019-04-14,36
2019-04-21,56
2019-04-28,78
2019-05-05,59
2019-05-12,51
2019-05-19,38
2019-05-26,89
2019-06-02,90
2019-06-09,74
2019-06-16,43
2019-06-23,74
2019-06-30,79
2019-07-07,55
2019-07-14,58
2019-07-21,63
2019-07-28,97
2019-08-04,60
2019-08-11,84
2019-08-18,36
2019-08-25,60
2019-09-01,78
2019-09-08,76
2019-09-15,64
2019-09-22,56
2019-09-29,67
2019-10-06,43
2019-10-13,51
2019-10-20,73
2019-10-27,62
2019-11-03,53
2019-11-10,69
2019-11-17,89
2019-11-24,37
2019-12-01,60
2019-12-08,44
2019-12-15,69
2019-12-22,79
2019-12-29,43
2020-01-05,63
2020-01-12,47
2020-01-19,72
2020-01-26,52
2020-02-02,78
2020-02-09,78
2020-02-16,52
2020-02-23,51
2020-03-01,46
2020-03-08,52
