date,Arts_CZ
2018-01-07,75
2018-01-14,92
2018-01-21,84
2018-01-28,85
2018-02-04,90
2018-02-11,74
2018-02-18,74
2018-02-25,93
2018-03-04,80
2018-03-11,73
2018-03-18,71
2018-03-25,90
2018-04-01,81
2018-04-08,79
2018-04-15,71
2018-04-22,85
2018-04-29,87
2018-05-06,82
2018-05-13,89
2018-05-20,94
2018-05-27,72
2018-06-03,91
2018-06-10,67
2018-06-17,65
2018-06-24,58
2018-07-01,45
2018-07-08,62
2018-07-15,69
2018-07-22,63
2018-07-29,43
2018-08-05,56
2018-08-12,72
2018-08-19,65
2018-08-26,80
2018-09-02,97
2018-09-09,80
2018-09-16,67
2018-09-23,88
2018-09-30,92
2018-10-07,82
2018-10-14,71
2018-10-21,100
2018-10-28,80
2018-11-04,93
2018-11-11,71
2018-11-18,69
2018-11-25,75
2018-12-02,87
2018-12-09,78
2018-12-16,75
2018-12-23,67
2018-12-30,68
2019-01-06,76
2019-01-13,96
2019-01-20,89
2019-01-27,82
2019-02-03,80
2019-02-10,91
2019-02-17,89
2019-02-24,97
2019-03-03,87
2019-03-10,82
2019-03-17,80
2019-03-24,87
2019-03-31,62
2019-04-07,69
2019-04-14,71
2019-04-21,76
2019-04-28,90
2019-05-05,65
2019-05-12,80
2019-05-19,70
2019-05-26,69
2019-06-02,72
2019-06-09,80
2019-06-16,66
2019-06-23,53
2019-06-30,50
2019-07-07,48
2019-07-14,62
2019-07-21,45
2019-07-28,58
2019-08-04,57
2019-08-11,63
2019-08-18,69
2019-08-25,68
2019-09-01,81
2019-09-08,87
2019-09-15,86
2019-09-22,85
2019-09-29,81
2019-10-06,71
2019-10-13,78
2019-10-20,97
2019-10-27,72
2019-11-03,77
2019-11-10,79
2019-11-17,68
2019-11-24,61
2019-12-01,74
2019-12-08,91
2019-12-15,71
2019-12-22,68
2019-12-29,78
2020-01-05,80
2020-01-12,87
2020-01-19,78
2020-01-26,63
2020-02-02,75
2020-02-09,69
2020-02-16,77
2020-02-23,78
2020-03-01,66
2020-03-08,61
