date,Learning_GB
2018-01-07,96
2018-01-14,93
2018-01-21,92
2018-01-28,95
2018-02-04,91
2018-02-11,77
2018-02-18,90
2018-02-25,81
2018-03-04,92
2018-03-11,89
2018-03-18,85
2018-03-25,76
2018-04-01,65
2018-04-08,71
2018-04-15,82
2018-04-22,91
2018-04-29,90
2018-05-06,80
2018-05-13,85
2018-05-20,80
2018-05-27,61
2018-06-03,81
2018-06-10,81
2018-06-17,77
2018-06-24,70
2018-07-01,70
2018-07-08,66
2018-07-15,65
2018-07-22,59
2018-07-29,59
2018-08-05,58
2018-08-12,62
2018-08-19,63
2018-08-26,62
2018-09-02,84
2018-09-09,91
2018-09-16,92
2018-09-23,90
2018-09-30,100
2018-10-07,92
2018-10-14,97
2018-10-21,78
2018-10-28,82
2018-11-04,89
2018-11-11,89
2018-11-18,88
2018-11-25,89
2018-12-02,87
2018-12-09,78
2018-12-16,63
2018-12-23,46
2018-12-30,62
2019-01-06,92
2019-01-13,92
2019-01-20,89
2019-01-27,86
2019-02-03,87
2019-02-10,87
2019-02-17,71
2019-02-24,83
2019-03-03,91
2019-03-10,86
2019-03-17,84
2019-03-24,79
2019-03-31,80
2019-04-07,66
2019-04-14,59
2019-04-21,72
2019-04-28,82
2019-05-05,78
2019-05-12,83
2019-05-19,76
2019-05-26,61
2019-06-02,72
2019-06-09,78
2019-06-16,77
2019-06-23,68
2019-06-30,68
2019-07-07,69
2019-07-14,64
2019-07-21,55
2019-07-28,53
2019-08-04,56
2019-08-11,62
2019-08-18,61
2019-08-25,60
2019-09-01,72
2019-09-08,87
2019-09-15,85
2019-09-22,91
2019-09-29,90
2019-10-06,93
2019-10-13,86
2019-10-20,80
2019-10-27,74
2019-11-03,89
2019-11-10,86
2019-11-17,85
2019-11-24,83
2019-12-01,85
2019-12-08,76
2019-12-15,68
2019-12-22,42
2019-12-29,61
2020-01-05,87
2020-01-12,91
2020-01-19,90
2020-01-26,88
2020-02-02,85
2020-02-09,83
2020-02-16,72
2020-02-23,84
2020-03-01,86
2020-03-08,82
