date,Collecting_AT
2018-01-07,71
2018-01-14,31
2018-01-21,78
2018-01-28,47
2018-02-04,40
2018-02-11,16
2018-02-18,15
2018-02-25,31
2018-03-04,47
2018-03-11,39
2018-03-18,63
2018-03-25,58
2018-04-01,52
2018-04-08,100
2018-04-15,33
2018-04-22,50
2018-04-29,59
2018-05-06,34
2018-05-13,16
2018-05-20,42
2018-05-27,42
2018-06-03,57
2018-06-10,62
2018-06-17,56
2018-06-24,16
2018-07-01,82
2018-07-08,66
2018-07-15,59
2018-07-22,25
2018-07-29,69
2018-08-05,25
2018-08-12,34
2018-08-19,25
2018-08-26,74
2018-09-02,49
2018-09-09,58
2018-09-16,74
2018-09-23,41
2018-09-30,65
2018-10-07,57
2018-10-14,50
2018-10-21,25
2018-10-28,66
2018-11-04,64
2018-11-11,66
2018-11-18,39
2018-11-25,16
2018-12-02,24
2018-12-09,55
2018-12-16,58
2018-12-23,91
2018-12-30,48
2019-01-06,37
2019-01-13,75
2019-01-20,51
2019-01-27,51
2019-02-03,30
2019-02-10,53
2019-02-17,82
2019-02-24,52
2019-03-03,67
2019-03-10,44
2019-03-17,46
2019-03-24,77
2019-03-31,39
2019-04-07,53
2019-04-14,59
2019-04-21,49
2019-04-28,69
2019-05-05,60
2019-05-12,60
2019-05-19,52
2019-05-26,45
2019-06-02,63
2019-06-09,57
2019-06-16,62
2019-06-23,55
2019-06-30,55
2019-07-07,38
2019-07-14,48
2019-07-21,50
2019-07-28,40
2019-08-04,74
2019-08-11,40
2019-08-18,69
2019-08-25,78
2019-09-01,52
2019-09-08,39
2019-09-15,78
2019-09-22,96
2019-09-29,58
2019-10-06,51
2019-10-13,44
2019-10-20,37
2019-10-27,81
2019-11-03,28
2019-11-10,57
2019-11-17,71
2019-11-24,50
2019-12-01,51
2019-12-08,36
2019-12-15,73
2019-12-22,40
2019-12-29,15
2020-01-05,41
2020-01-12,33
2020-01-19,40
2020-01-26,78
2020-02-02,33
2020-02-09,81
2020-02-16,60
2020-02-23,69
2020-03-01,50
2020-03-08,43
