date,Performing_Art_AU
2018-01-07,86
2018-01-14,43
2018-01-21,34
2018-01-28,75
2018-02-04,93
2018-02-11,56
2018-02-18,41
2018-02-25,82
2018-03-04,36
2018-03-11,37
2018-03-18,46
2018-03-25,28
2018-04-01,100
2018-04-08,28
2018-04-15,33
2018-04-22,61
2018-04-29,73
2018-05-06,78
2018-05-13,47
2018-05-20,64
2018-05-27,28
2018-06-03,28
2018-06-10,77
2018-06-17,18
2018-06-24,52
2018-07-01,47
2018-07-08,38
2018-07-15,38
2018-07-22,52
2018-07-29,74
2018-08-05,41
2018-08-12,56
2018-08-19,37
2018-08-26,83
2018-09-02,55
2018-09-09,51
2018-09-16,62
2018-09-23,34
2018-09-30,63
2018-10-07,61
2018-10-14,60
2018-10-21,37
2018-10-28,95
2018-11-04,40
2018-11-11,51
2018-11-18,37
2018-11-25,42
2018-12-02,62
2018-12-09,67
2018-12-16,64
2018-12-23,17
2018-12-30,31
2019-01-06,19
2019-01-13,60
2019-01-20,36
2019-01-27,42
2019-02-03,44
2019-02-10,50
2019-02-17,22
2019-02-24,40
2019-03-03,40
2019-03-10,45
2019-03-17,53
2019-03-24,45
2019-03-31,35
2019-04-07,45
2019-04-14,33
2019-04-21,52
2019-04-28,61
2019-05-05,59
2019-05-12,58
2019-05-19,31
2019-05-26,71
2019-06-02,68
2019-06-09,78
2019-06-16,58
2019-06-23,76
2019-06-30,54
2019-07-07,45
2019-07-14,36
2019-07-21,97
2019-07-28,50
2019-08-04,40
2019-08-11,67
2019-08-18,74
2019-08-25,43
2019-09-01,80
2019-09-08,34
2019-09-15,38
2019-09-22,26
2019-09-29,27
2019-10-06,40
2019-10-13,52
2019-10-20,39
2019-10-27,55
2019-11-03,21
2019-11-10,46
2019-11-17,43
2019-11-24,55
2019-12-01,57
2019-12-08,22
2019-12-15,27
2019-12-22,5
2019-12-29,27
2020-01-05,38
2020-01-12,62
2020-01-19,51
2020-01-26,38
2020-02-02,38
2020-02-09,45
2020-02-16,37
2020-02-23,60
2020-03-01,20
2020-03-08,32
