date,Arts_CA
2018-01-07,89
2018-01-14,100
2018-01-21,95
2018-01-28,88
2018-02-04,90
2018-02-11,84
2018-02-18,87
2018-02-25,86
2018-03-04,85
2018-03-11,85
2018-03-18,88
2018-03-25,85
2018-04-01,82
2018-04-08,89
2018-04-15,90
2018-04-22,81
2018-04-29,79
2018-05-06,86
2018-05-13,84
2018-05-20,77
2018-05-27,86
2018-06-03,84
2018-06-10,82
2018-06-17,81
2018-06-24,75
2018-07-01,68
2018-07-08,69
2018-07-15,73
2018-07-22,71
2018-07-29,74
2018-08-05,72
2018-08-12,72
2018-08-19,70
2018-08-26,74
2018-09-02,85
2018-09-09,93
2018-09-16,94
2018-09-23,88
2018-09-30,87
2018-10-07,90
2018-10-14,89
2018-10-21,84
2018-10-28,90
2018-11-04,90
2018-11-11,89
2018-11-18,84
2018-11-25,88
2018-12-02,87
2018-12-09,87
2018-12-16,73
2018-12-23,62
2018-12-30,72
2019-01-06,87
2019-01-13,92
2019-01-20,86
2019-01-27,80
2019-02-03,86
2019-02-10,73
2019-02-17,86
2019-02-24,81
2019-03-03,86
2019-03-10,81
2019-03-17,79
2019-03-24,81
2019-03-31,85
2019-04-07,81
2019-04-14,78
2019-04-21,76
2019-04-28,81
2019-05-05,80
2019-05-12,76
2019-05-19,76
2019-05-26,75
2019-06-02,81
2019-06-09,79
2019-06-16,76
2019-06-23,68
2019-06-30,62
2019-07-07,65
2019-07-14,65
2019-07-21,71
2019-07-28,62
2019-08-04,66
2019-08-11,71
2019-08-18,68
2019-08-25,67
2019-09-01,75
2019-09-08,83
2019-09-15,84
2019-09-22,86
2019-09-29,83
2019-10-06,78
2019-10-13,77
2019-10-20,81
2019-10-27,77
2019-11-03,85
2019-11-10,86
2019-11-17,86
2019-11-24,82
2019-12-01,83
2019-12-08,88
2019-12-15,80
2019-12-22,59
2019-12-29,67
2020-01-05,82
2020-01-12,79
2020-01-19,83
2020-01-26,82
2020-02-02,81
2020-02-09,82
2020-02-16,84
2020-02-23,81
2020-03-01,82
2020-03-08,72
