date,Arts_CO
2018-01-07,52
2018-01-14,55
2018-01-21,68
2018-01-28,84
2018-02-04,93
2018-02-11,96
2018-02-18,95
2018-02-25,94
2018-03-04,82
2018-03-11,85
2018-03-18,76
2018-03-25,62
2018-04-01,82
2018-04-08,80
2018-04-15,86
2018-04-22,78
2018-04-29,74
2018-05-06,74
2018-05-13,69
2018-05-20,81
2018-05-27,77
2018-06-03,66
2018-06-10,57
2018-06-17,52
2018-06-24,41
2018-07-01,47
2018-07-08,68
2018-07-15,67
2018-07-22,79
2018-07-29,78
2018-08-05,76
2018-08-12,85
2018-08-19,80
2018-08-26,84
2018-09-02,87
2018-09-09,70
2018-09-16,83
2018-09-23,89
2018-09-30,81
2018-10-07,65
2018-10-14,85
2018-10-21,82
2018-10-28,70
2018-11-04,67
2018-11-11,72
2018-11-18,57
2018-11-25,51
2018-12-02,46
2018-12-09,39
2018-12-16,34
2018-12-23,29
2018-12-30,30
2019-01-06,45
2019-01-13,58
2019-01-20,64
2019-01-27,73
2019-02-03,94
2019-02-10,98
2019-02-17,92
2019-02-24,86
2019-03-03,84
2019-03-10,92
2019-03-17,85
2019-03-24,78
2019-03-31,71
2019-04-07,73
2019-04-14,63
2019-04-21,71
2019-04-28,68
2019-05-05,83
2019-05-12,68
2019-05-19,80
2019-05-26,73
2019-06-02,64
2019-06-09,69
2019-06-16,56
2019-06-23,49
2019-06-30,56
2019-07-07,68
2019-07-14,75
2019-07-21,78
2019-07-28,64
2019-08-04,65
2019-08-11,69
2019-08-18,71
2019-08-25,74
2019-09-01,76
2019-09-08,77
2019-09-15,72
2019-09-22,85
2019-09-29,85
2019-10-06,57
2019-10-13,73
2019-10-20,70
2019-10-27,65
2019-11-03,66
2019-11-10,66
2019-11-17,55
2019-11-24,58
2019-12-01,46
2019-12-08,43
2019-12-15,33
2019-12-22,36
2019-12-29,39
2020-01-05,44
2020-01-12,50
2020-01-19,62
2020-01-26,81
2020-02-02,90
2020-02-09,100
2020-02-16,85
2020-02-23,89
2020-03-01,89
2020-03-08,90
