date,Cooking_PL
2018-01-07,72
2018-01-14,88
2018-01-21,77
2018-01-28,64
2018-02-04,64
2018-02-11,76
2018-02-18,63
2018-02-25,63
2018-03-04,72
2018-03-11,88
2018-03-18,77
2018-03-25,100
2018-04-01,49
2018-04-08,51
2018-04-15,54
2018-04-22,57
2018-04-29,52
2018-05-06,54
2018-05-13,52
2018-05-20,70
2018-05-27,56
2018-06-03,63
2018-06-10,52
2018-06-17,53
2018-06-24,57
2018-07-01,56
2018-07-08,61
2018-07-15,59
2018-07-22,63
2018-07-29,50
2018-08-05,56
2018-08-12,63
2018-08-19,78
2018-08-26,60
2018-09-02,67
2018-09-09,57
2018-09-16,70
2018-09-23,54
2018-09-30,72
2018-10-07,74
2018-10-14,53
2018-10-21,55
2018-10-28,71
2018-11-04,69
2018-11-11,65
2018-11-18,72
2018-11-25,73
2018-12-02,79
2018-12-09,75
2018-12-16,78
2018-12-23,75
2018-12-30,54
2019-01-06,55
2019-01-13,59
2019-01-20,51
2019-01-27,56
2019-02-03,60
2019-02-10,52
2019-02-17,75
2019-02-24,78
2019-03-03,58
2019-03-10,61
2019-03-17,57
2019-03-24,73
2019-03-31,65
2019-04-07,55
2019-04-14,88
2019-04-21,49
2019-04-28,51
2019-05-05,60
2019-05-12,53
2019-05-19,57
2019-05-26,63
2019-06-02,52
2019-06-09,53
2019-06-16,56
2019-06-23,53
2019-06-30,56
2019-07-07,55
2019-07-14,69
2019-07-21,61
2019-07-28,53
2019-08-04,57
2019-08-11,59
2019-08-18,68
2019-08-25,60
2019-09-01,73
2019-09-08,62
2019-09-15,49
2019-09-22,68
2019-09-29,65
2019-10-06,69
2019-10-13,74
2019-10-20,69
2019-10-27,73
2019-11-03,70
2019-11-10,64
2019-11-17,61
2019-11-24,64
2019-12-01,82
2019-12-08,77
2019-12-15,79
2019-12-22,63
2019-12-29,68
2020-01-05,64
2020-01-12,62
2020-01-19,63
2020-01-26,70
2020-02-02,61
2020-02-09,69
2020-02-16,77
2020-02-23,49
2020-03-01,59
2020-03-08,51
