date,Learning_TH
2018-01-07,69
2018-01-14,66
2018-01-21,91
2018-01-28,70
2018-02-04,64
2018-02-11,58
2018-02-18,65
2018-02-25,72
2018-03-04,73
2018-03-11,55
2018-03-18,69
2018-03-25,63
2018-04-01,51
2018-04-08,55
2018-04-15,55
2018-04-22,70
2018-04-29,64
2018-05-06,60
2018-05-13,55
2018-05-20,69
2018-05-27,59
2018-06-03,68
2018-06-10,61
2018-06-17,52
2018-06-24,52
2018-07-01,67
2018-07-08,71
2018-07-15,66
2018-07-22,60
2018-07-29,59
2018-08-05,79
2018-08-12,63
2018-08-19,94
2018-08-26,73
2018-09-02,93
2018-09-09,73
2018-09-16,76
2018-09-23,66
2018-09-30,70
2018-10-07,57
2018-10-14,59
2018-10-21,52
2018-10-28,65
2018-11-04,61
2018-11-11,71
2018-11-18,74
2018-11-25,56
2018-12-02,61
2018-12-09,56
2018-12-16,55
2018-12-23,56
2018-12-30,52
2019-01-06,74
2019-01-13,75
2019-01-20,66
2019-01-27,70
2019-02-03,69
2019-02-10,87
2019-02-17,68
2019-02-24,76
2019-03-03,79
2019-03-10,81
2019-03-17,72
2019-03-24,83
2019-03-31,54
2019-04-07,60
2019-04-14,50
2019-04-21,78
2019-04-28,60
2019-05-05,56
2019-05-12,78
2019-05-19,82
2019-05-26,78
2019-06-02,80
2019-06-09,84
2019-06-16,82
2019-06-23,76
2019-06-30,85
2019-07-07,83
2019-07-14,64
2019-07-21,73
2019-07-28,69
2019-08-04,89
2019-08-11,93
2019-08-18,90
2019-08-25,94
2019-09-01,88
2019-09-08,79
2019-09-15,85
2019-09-22,86
2019-09-29,78
2019-10-06,77
2019-10-13,81
2019-10-20,70
2019-10-27,67
2019-11-03,89
2019-11-10,70
2019-11-17,100
2019-11-24,81
2019-12-01,70
2019-12-08,65
2019-12-15,78
2019-12-22,69
2019-12-29,47
2020-01-05,79
2020-01-12,71
2020-01-19,83
2020-01-26,71
2020-02-02,84
2020-02-09,65
2020-02-16,78
2020-02-23,78
2020-03-01,77
2020-03-08,99
