date,Sports_FI
2018-01-07,59
2018-01-14,54
2018-01-21,65
2018-01-28,59
2018-02-04,65
2018-02-11,100
2018-02-18,92
2018-02-25,61
2018-03-04,61
2018-03-11,48
2018-03-18,63
2018-03-25,55
2018-04-01,64
2018-04-08,66
2018-04-15,53
2018-04-22,57
2018-04-29,57
2018-05-06,69
2018-05-13,65
2018-05-20,50
2018-05-27,46
2018-06-03,41
2018-06-10,60
2018-06-17,73
2018-06-24,56
2018-07-01,64
2018-07-08,55
2018-07-15,47
2018-07-22,44
2018-07-29,44
2018-08-05,55
2018-08-12,49
2018-08-19,50
2018-08-26,55
2018-09-02,55
2018-09-09,50
2018-09-16,55
2018-09-23,52
2018-09-30,48
2018-10-07,52
2018-10-14,43
2018-10-21,60
2018-10-28,46
2018-11-04,48
2018-11-11,47
2018-11-18,47
2018-11-25,54
2018-12-02,46
2018-12-09,47
2018-12-16,55
2018-12-23,52
2018-12-30,60
2019-01-06,51
2019-01-13,57
2019-01-20,65
2019-01-27,53
2019-02-03,54
2019-02-10,53
2019-02-17,63
2019-02-24,71
2019-03-03,63
2019-03-10,58
2019-03-17,64
2019-03-24,59
2019-03-31,61
2019-04-07,63
2019-04-14,58
2019-04-21,57
2019-04-28,52
2019-05-05,57
2019-05-12,58
2019-05-19,74
2019-05-26,72
2019-06-02,44
2019-06-09,51
2019-06-16,43
2019-06-23,54
2019-06-30,55
2019-07-07,52
2019-07-14,51
2019-07-21,42
2019-07-28,56
2019-08-04,52
2019-08-11,53
2019-08-18,61
2019-08-25,60
2019-09-01,56
2019-09-08,49
2019-09-15,59
2019-09-22,63
2019-09-29,82
2019-10-06,57
2019-10-13,64
2019-10-20,56
2019-10-27,55
2019-11-03,55
2019-11-10,66
2019-11-17,55
2019-11-24,55
2019-12-01,67
2019-12-08,65
2019-12-15,65
2019-12-22,55
2019-12-29,66
2020-01-05,62
2020-01-12,59
2020-01-19,63
2020-01-26,64
2020-02-02,54
2020-02-09,61
2020-02-16,74
2020-02-23,63
2020-03-01,54
2020-03-08,55
