date,Music_FR
2018-01-07,39
2018-01-14,39
2018-01-21,40
2018-01-28,40
2018-02-04,45
2018-02-11,42
2018-02-18,40
2018-02-25,36
2018-03-04,39
2018-03-11,40
2018-03-18,40
2018-03-25,40
2018-04-01,38
2018-04-08,37
2018-04-15,37
2018-04-22,38
2018-04-29,38
2018-05-06,40
2018-05-13,38
2018-05-20,39
2018-05-27,40
2018-06-03,44
2018-06-10,45
2018-06-17,90
2018-06-24,40
2018-07-01,37
2018-07-08,39
2018-07-15,39
2018-07-22,39
2018-07-29,39
2018-08-05,39
2018-08-12,45
2018-08-19,41
2018-08-26,39
2018-09-02,40
2018-09-09,43
2018-09-16,41
2018-09-23,40
2018-09-30,39
2018-10-07,41
2018-10-14,41
2018-10-21,39
2018-10-28,40
2018-11-04,42
2018-11-11,41
2018-11-18,38
2018-11-25,39
2018-12-02,40
2018-12-09,39
2018-12-16,42
2018-12-23,48
2018-12-30,45
2019-01-06,35
2019-01-13,36
2019-01-20,37
2019-01-27,38
2019-02-03,44
2019-02-10,42
2019-02-17,37
2019-02-24,37
2019-03-03,37
2019-03-10,36
2019-03-17,39
2019-03-24,37
2019-03-31,38
2019-04-07,38
2019-04-14,37
2019-04-21,36
2019-04-28,35
2019-05-05,38
2019-05-12,36
2019-05-19,37
2019-05-26,37
2019-06-02,37
2019-06-09,43
2019-06-16,100
2019-06-23,39
2019-06-30,36
2019-07-07,36
2019-07-14,37
2019-07-21,35
2019-07-28,35
2019-08-04,36
2019-08-11,38
2019-08-18,36
2019-08-25,36
2019-09-01,37
2019-09-08,38
2019-09-15,36
2019-09-22,36
2019-09-29,36
2019-10-06,35
2019-10-13,35
2019-10-20,36
2019-10-27,37
2019-11-03,36
2019-11-10,37
2019-11-17,36
2019-11-24,36
2019-12-01,37
2019-12-08,39
2019-12-15,38
2019-12-22,47
2019-12-29,40
2020-01-05,34
2020-01-12,36
2020-01-19,36
2020-01-26,36
2020-02-02,37
2020-02-09,41
2020-02-16,38
2020-02-23,35
2020-03-01,34
2020-03-08,32
