date,Sports_AR
2018-01-07,39
2018-01-14,39
2018-01-21,45
2018-01-28,40
2018-02-04,44
2018-02-11,46
2018-02-18,47
2018-02-25,49
2018-03-04,44
2018-03-11,49
2018-03-18,42
2018-03-25,53
2018-04-01,46
2018-04-08,52
2018-04-15,47
2018-04-22,44
2018-04-29,43
2018-05-06,46
2018-05-13,55
2018-05-20,48
2018-05-27,53
2018-06-03,55
2018-06-10,76
2018-06-17,99
2018-06-24,100
2018-07-01,73
2018-07-08,53
2018-07-15,51
2018-07-22,51
2018-07-29,43
2018-08-05,48
2018-08-12,48
2018-08-19,51
2018-08-26,48
2018-09-02,57
2018-09-09,51
2018-09-16,48
2018-09-23,49
2018-09-30,53
2018-10-07,58
2018-10-14,60
2018-10-21,46
2018-10-28,59
2018-11-04,49
2018-11-11,47
2018-11-18,53
2018-11-25,51
2018-12-02,49
2018-12-09,46
2018-12-16,55
2018-12-23,44
2018-12-30,42
2019-01-06,49
2019-01-13,42
2019-01-20,51
2019-01-27,59
2019-02-03,66
2019-02-10,59
2019-02-17,66
2019-02-24,69
2019-03-03,59
2019-03-10,64
2019-03-17,73
2019-03-24,58
2019-03-31,52
2019-04-07,52
2019-04-14,51
2019-04-21,46
2019-04-28,54
2019-05-05,53
2019-05-12,58
2019-05-19,54
2019-05-26,56
2019-06-02,52
2019-06-09,53
2019-06-16,52
2019-06-23,53
2019-06-30,50
2019-07-07,51
2019-07-14,43
2019-07-21,51
2019-07-28,54
2019-08-04,63
2019-08-11,48
2019-08-18,48
2019-08-25,53
2019-09-01,56
2019-09-08,57
2019-09-15,57
2019-09-22,54
2019-09-29,70
2019-10-06,72
2019-10-13,61
2019-10-20,68
2019-10-27,56
2019-11-03,75
2019-11-10,75
2019-11-17,62
2019-11-24,67
2019-12-01,61
2019-12-08,57
2019-12-15,55
2019-12-22,42
2019-12-29,45
2020-01-05,49
2020-01-12,56
2020-01-19,60
2020-01-26,65
2020-02-02,65
2020-02-09,70
2020-02-16,69
2020-02-23,81
2020-03-01,74
2020-03-08,78
