date,Performing_Art_GB
2018-01-07,94
2018-01-14,70
2018-01-21,72
2018-01-28,65
2018-02-04,77
2018-02-11,54
2018-02-18,58
2018-02-25,60
2018-03-04,62
2018-03-11,63
2018-03-18,64
2018-03-25,68
2018-04-01,41
2018-04-08,56
2018-04-15,63
2018-04-22,60
2018-04-29,53
2018-05-06,71
2018-05-13,81
2018-05-20,68
2018-05-27,36
2018-06-03,72
2018-06-10,65
2018-06-17,61
2018-06-24,34
2018-07-01,76
2018-07-08,44
2018-07-15,61
2018-07-22,29
2018-07-29,45
2018-08-05,34
2018-08-12,60
2018-08-19,48
2018-08-26,67
2018-09-02,87
2018-09-09,76
2018-09-16,73
2018-09-23,72
2018-09-30,67
2018-10-07,63
2018-10-14,85
2018-10-21,50
2018-10-28,64
2018-11-04,63
2018-11-11,65
2018-11-18,45
2018-11-25,66
2018-12-02,64
2018-12-09,70
2018-12-16,41
2018-12-23,21
2018-12-30,75
2019-01-06,53
2019-01-13,77
2019-01-20,69
2019-01-27,69
2019-02-03,61
2019-02-10,58
2019-02-17,54
2019-02-24,49
2019-03-03,68
2019-03-10,55
2019-03-17,49
2019-03-24,66
2019-03-31,72
2019-04-07,54
2019-04-14,27
2019-04-21,51
2019-04-28,57
2019-05-05,56
2019-05-12,59
2019-05-19,53
2019-05-26,50
2019-06-02,33
2019-06-09,57
2019-06-16,45
2019-06-23,74
2019-06-30,48
2019-07-07,40
2019-07-14,73
2019-07-21,39
2019-07-28,51
2019-08-04,35
2019-08-11,45
2019-08-18,67
2019-08-25,43
2019-09-01,75
2019-09-08,91
2019-09-15,78
2019-09-22,73
2019-09-29,88
2019-10-06,67
2019-10-13,79
2019-10-20,83
2019-10-27,46
2019-11-03,66
2019-11-10,70
2019-11-17,67
2019-11-24,67
2019-12-01,85
2019-12-08,58
2019-12-15,86
2019-12-22,55
2019-12-29,56
2020-01-05,81
2020-01-12,100
2020-01-19,58
2020-01-26,82
2020-02-02,80
2020-02-09,75
2020-02-16,62
2020-02-23,46
2020-03-01,76
2020-03-08,62
