date,Learning_AU
2018-01-07,68
2018-01-14,69
2018-01-21,77
2018-01-28,85
2018-02-04,90
2018-02-11,91
2018-02-18,88
2018-02-25,88
2018-03-04,89
2018-03-11,92
2018-03-18,90
2018-03-25,86
2018-04-01,80
2018-04-08,91
2018-04-15,87
2018-04-22,85
2018-04-29,96
2018-05-06,96
2018-05-13,100
2018-05-20,92
2018-05-27,98
2018-06-03,95
2018-06-10,91
2018-06-17,83
2018-06-24,83
2018-07-01,73
2018-07-08,67
2018-07-15,82
2018-07-22,87
2018-07-29,91
2018-08-05,87
2018-08-12,89
2018-08-19,89
2018-08-26,84
2018-09-02,86
2018-09-09,88
2018-09-16,80
2018-09-23,86
2018-09-30,76
2018-10-07,76
2018-10-14,77
2018-10-21,79
2018-10-28,80
2018-11-04,77
2018-11-11,79
2018-11-18,80
2018-11-25,73
2018-12-02,73
2018-12-09,71
2018-12-16,55
2018-12-23,48
2018-12-30,63
2019-01-06,68
2019-01-13,66
2019-01-20,67
2019-01-27,78
2019-02-03,86
2019-02-10,88
2019-02-17,92
2019-02-24,84
2019-03-03,98
2019-03-10,85
2019-03-17,98
2019-03-24,94
2019-03-31,88
2019-04-07,82
2019-04-14,64
2019-04-21,68
2019-04-28,93
2019-05-05,90
2019-05-12,82
2019-05-19,94
2019-05-26,89
2019-06-02,85
2019-06-09,89
2019-06-16,87
2019-06-23,83
2019-06-30,75
2019-07-07,68
2019-07-14,81
2019-07-21,82
2019-07-28,83
2019-08-04,86
2019-08-11,84
2019-08-18,89
2019-08-25,90
2019-09-01,89
2019-09-08,86
2019-09-15,78
2019-09-22,77
2019-09-29,79
2019-10-06,77
2019-10-13,82
2019-10-20,84
2019-10-27,81
2019-11-03,84
2019-11-10,76
2019-11-17,78
2019-11-24,78
2019-12-01,69
2019-12-08,69
2019-12-15,56
2019-12-22,45
2019-12-29,49
2020-01-05,70
2020-01-12,68
2020-01-19,65
2020-01-26,79
2020-02-02,82
2020-02-09,87
2020-02-16,86
2020-02-23,90
2020-03-01,87
2020-03-08,80
