date,Crafts_IR
2018-01-07,25
2018-01-14,68
2018-01-21,65
2018-01-28,32
2018-02-04,46
2018-02-11,40
2018-02-18,41
2018-02-25,89
2018-03-04,72
2018-03-11,16
2018-03-18,72
2018-03-25,33
2018-04-01,31
2018-04-08,34
2018-04-15,28
2018-04-22,49
2018-04-29,29
2018-05-06,46
2018-05-13,100
2018-05-20,53
2018-05-27,46
2018-06-03,24
2018-06-10,37
2018-06-17,38
2018-06-24,45
2018-07-01,30
2018-07-08,31
2018-07-15,55
2018-07-22,69
2018-07-29,51
2018-08-05,43
2018-08-12,90
2018-08-19,70
2018-08-26,76
2018-09-02,51
2018-09-09,44
2018-09-16,49
2018-09-23,37
2018-09-30,41
2018-10-07,50
2018-10-14,58
2018-10-21,7
2018-10-28,29
2018-11-04,44
2018-11-11,42
2018-11-18,84
2018-11-25,21
2018-12-02,27
2018-12-09,60
2018-12-16,52
2018-12-23,52
2018-12-30,52
2019-01-06,25
2019-01-13,37
2019-01-20,49
2019-01-27,49
2019-02-03,32
2019-02-10,32
2019-02-17,31
2019-02-24,44
2019-03-03,73
2019-03-10,27
2019-03-17,52
2019-03-24,22
2019-03-31,51
2019-04-07,19
2019-04-14,56
2019-04-21,44
2019-04-28,7
2019-05-05,63
2019-05-12,45
2019-05-19,66
2019-05-26,74
2019-06-02,46
2019-06-09,85
2019-06-16,65
2019-06-23,47
2019-06-30,65
2019-07-07,97
2019-07-14,43
2019-07-21,62
2019-07-28,55
2019-08-04,68
2019-08-11,38
2019-08-18,82
2019-08-25,36
2019-09-01,62
2019-09-08,93
2019-09-15,81
2019-09-22,18
2019-09-29,41
2019-10-06,54
2019-10-13,44
2019-10-20,42
2019-10-27,49
2019-11-03,42
2019-11-10,25
2019-11-17,0
2019-11-24,47
2019-12-01,27
2019-12-08,62
2019-12-15,46
2019-12-22,16
2019-12-29,25
2020-01-05,20
2020-01-12,69
2020-01-19,64
2020-01-26,36
2020-02-02,51
2020-02-09,37
2020-02-16,15
2020-02-23,30
2020-03-01,35
2020-03-08,34
