date,Music_CN
2018-01-07,87
2018-01-14,68
2018-01-21,68
2018-01-28,88
2018-02-04,89
2018-02-11,96
2018-02-18,100
2018-02-25,73
2018-03-04,82
2018-03-11,63
2018-03-18,82
2018-03-25,83
2018-04-01,76
2018-04-08,70
2018-04-15,94
2018-04-22,89
2018-04-29,94
2018-05-06,72
2018-05-13,66
2018-05-20,81
2018-05-27,77
2018-06-03,66
2018-06-10,69
2018-06-17,51
2018-06-24,77
2018-07-01,72
2018-07-08,69
2018-07-15,75
2018-07-22,69
2018-07-29,63
2018-08-05,72
2018-08-12,69
2018-08-19,80
2018-08-26,88
2018-09-02,63
2018-09-09,67
2018-09-16,68
2018-09-23,60
2018-09-30,97
2018-10-07,95
2018-10-14,63
2018-10-21,68
2018-10-28,71
2018-11-04,68
2018-11-11,79
2018-11-18,69
2018-11-25,78
2018-12-02,59
2018-12-09,67
2018-12-16,48
2018-12-23,61
2018-12-30,69
2019-01-06,57
2019-01-13,62
2019-01-20,59
2019-01-27,44
2019-02-03,51
2019-02-10,29
2019-02-17,30
2019-02-24,27
2019-03-03,43
2019-03-10,54
2019-03-17,47
2019-03-24,37
2019-03-31,56
2019-04-07,50
2019-04-14,62
2019-04-21,62
2019-04-28,62
2019-05-05,60
2019-05-12,57
2019-05-19,58
2019-05-26,55
2019-06-02,49
2019-06-09,67
2019-06-16,63
2019-06-23,56
2019-06-30,60
2019-07-07,54
2019-07-14,61
2019-07-21,46
2019-07-28,51
2019-08-04,41
2019-08-11,54
2019-08-18,67
2019-08-25,62
2019-09-01,47
2019-09-08,75
2019-09-15,58
2019-09-22,49
2019-09-29,57
2019-10-06,53
2019-10-13,62
2019-10-20,51
2019-10-27,55
2019-11-03,71
2019-11-10,60
2019-11-17,62
2019-11-24,71
2019-12-01,73
2019-12-08,53
2019-12-15,59
2019-12-22,53
2019-12-29,67
2020-01-05,55
2020-01-12,66
2020-01-19,70
2020-01-26,52
2020-02-02,53
2020-02-09,31
2020-02-16,56
2020-02-23,68
2020-03-01,67
2020-03-08,40
