date,Pets_AU
2018-01-07,95
2018-01-14,82
2018-01-21,89
2018-01-28,79
2018-02-04,76
2018-02-11,74
2018-02-18,79
2018-02-25,69
2018-03-04,70
2018-03-11,79
2018-03-18,72
2018-03-25,74
2018-04-01,78
2018-04-08,72
2018-04-15,78
2018-04-22,70
2018-04-29,79
2018-05-06,75
2018-05-13,70
2018-05-20,75
2018-05-27,70
2018-06-03,77
2018-06-10,73
2018-06-17,77
2018-06-24,79
2018-07-01,80
2018-07-08,75
2018-07-15,83
2018-07-22,78
2018-07-29,79
2018-08-05,77
2018-08-12,76
2018-08-19,74
2018-08-26,78
2018-09-02,75
2018-09-09,77
2018-09-16,82
2018-09-23,76
2018-09-30,81
2018-10-07,79
2018-10-14,79
2018-10-21,77
2018-10-28,81
2018-11-04,79
2018-11-11,83
2018-11-18,82
2018-11-25,87
2018-12-02,86
2018-12-09,85
2018-12-16,87
2018-12-23,91
2018-12-30,92
2019-01-06,91
2019-01-13,88
2019-01-20,78
2019-01-27,80
2019-02-03,78
2019-02-10,80
2019-02-17,87
2019-02-24,80
2019-03-03,76
2019-03-10,71
2019-03-17,76
2019-03-24,83
2019-03-31,81
2019-04-07,81
2019-04-14,82
2019-04-21,83
2019-04-28,76
2019-05-05,80
2019-05-12,74
2019-05-19,73
2019-05-26,79
2019-06-02,80
2019-06-09,77
2019-06-16,79
2019-06-23,81
2019-06-30,84
2019-07-07,88
2019-07-14,79
2019-07-21,72
2019-07-28,75
2019-08-04,80
2019-08-11,85
2019-08-18,71
2019-08-25,79
2019-09-01,84
2019-09-08,76
2019-09-15,81
2019-09-22,83
2019-09-29,90
2019-10-06,84
2019-10-13,84
2019-10-20,79
2019-10-27,81
2019-11-03,86
2019-11-10,81
2019-11-17,85
2019-11-24,89
2019-12-01,90
2019-12-08,92
2019-12-15,90
2019-12-22,100
2019-12-29,91
2020-01-05,98
2020-01-12,94
2020-01-19,95
2020-01-26,86
2020-02-02,85
2020-02-09,86
2020-02-16,89
2020-02-23,84
2020-03-01,83
2020-03-08,83
