date,Game_NO
2018-01-07,71
2018-01-14,70
2018-01-21,77
2018-01-28,78
2018-02-04,78
2018-02-11,72
2018-02-18,72
2018-02-25,65
2018-03-04,71
2018-03-11,71
2018-03-18,70
2018-03-25,71
2018-04-01,63
2018-04-08,70
2018-04-15,62
2018-04-22,60
2018-04-29,62
2018-05-06,62
2018-05-13,60
2018-05-20,63
2018-05-27,56
2018-06-03,59
2018-06-10,70
2018-06-17,62
2018-06-24,49
2018-07-01,52
2018-07-08,54
2018-07-15,57
2018-07-22,52
2018-07-29,60
2018-08-05,56
2018-08-12,50
2018-08-19,57
2018-08-26,66
2018-09-02,61
2018-09-09,67
2018-09-16,66
2018-09-23,66
2018-09-30,67
2018-10-07,61
2018-10-14,59
2018-10-21,65
2018-10-28,69
2018-11-04,72
2018-11-11,84
2018-11-18,81
2018-11-25,76
2018-12-02,76
2018-12-09,73
2018-12-16,81
2018-12-23,100
2018-12-30,75
2019-01-06,67
2019-01-13,71
2019-01-20,77
2019-01-27,58
2019-02-03,59
2019-02-10,60
2019-02-17,52
2019-02-24,43
2019-03-03,56
2019-03-10,52
2019-03-17,56
2019-03-24,55
2019-03-31,66
2019-04-07,75
2019-04-14,72
2019-04-21,63
2019-04-28,65
2019-05-05,68
2019-05-12,65
2019-05-19,66
2019-05-26,62
2019-06-02,64
2019-06-09,71
2019-06-16,62
2019-06-23,61
2019-06-30,68
2019-07-07,51
2019-07-14,62
2019-07-21,59
2019-07-28,63
2019-08-04,57
2019-08-11,57
2019-08-18,63
2019-08-25,71
2019-09-01,70
2019-09-08,71
2019-09-15,68
2019-09-22,70
2019-09-29,67
2019-10-06,68
2019-10-13,77
2019-10-20,80
2019-10-27,75
2019-11-03,72
2019-11-10,81
2019-11-17,79
2019-11-24,91
2019-12-01,91
2019-12-08,87
2019-12-15,93
2019-12-22,96
2019-12-29,78
2020-01-05,77
2020-01-12,77
2020-01-19,92
2020-01-26,80
2020-02-02,75
2020-02-09,80
2020-02-16,72
2020-02-23,69
2020-03-01,83
2020-03-08,85
