date,Learning_BE
2018-01-07,74
2018-01-14,73
2018-01-21,69
2018-01-28,70
2018-02-04,72
2018-02-11,67
2018-02-18,86
2018-02-25,50
2018-03-04,94
2018-03-11,72
2018-03-18,71
2018-03-25,47
2018-04-01,82
2018-04-08,85
2018-04-15,64
2018-04-22,71
2018-04-29,82
2018-05-06,48
2018-05-13,80
2018-05-20,53
2018-05-27,73
2018-06-03,78
2018-06-10,73
2018-06-17,61
2018-06-24,44
2018-07-01,54
2018-07-08,50
2018-07-15,46
2018-07-22,48
2018-07-29,57
2018-08-05,63
2018-08-12,43
2018-08-19,70
2018-08-26,72
2018-09-02,78
2018-09-09,59
2018-09-16,60
2018-09-23,63
2018-09-30,73
2018-10-07,82
2018-10-14,52
2018-10-21,73
2018-10-28,77
2018-11-04,79
2018-11-11,57
2018-11-18,64
2018-11-25,64
2018-12-02,86
2018-12-09,45
2018-12-16,65
2018-12-23,43
2018-12-30,81
2019-01-06,70
2019-01-13,72
2019-01-20,81
2019-01-27,55
2019-02-03,92
2019-02-10,60
2019-02-17,100
2019-02-24,78
2019-03-03,76
2019-03-10,72
2019-03-17,66
2019-03-24,58
2019-03-31,69
2019-04-07,83
2019-04-14,66
2019-04-21,43
2019-04-28,44
2019-05-05,74
2019-05-12,71
2019-05-19,81
2019-05-26,52
2019-06-02,60
2019-06-09,63
2019-06-16,60
2019-06-23,66
2019-06-30,54
2019-07-07,34
2019-07-14,58
2019-07-21,27
2019-07-28,43
2019-08-04,58
2019-08-11,55
2019-08-18,75
2019-08-25,82
2019-09-01,53
2019-09-08,65
2019-09-15,51
2019-09-22,77
2019-09-29,71
2019-10-06,65
2019-10-13,87
2019-10-20,76
2019-10-27,61
2019-11-03,70
2019-11-10,80
2019-11-17,71
2019-11-24,88
2019-12-01,67
2019-12-08,90
2019-12-15,60
2019-12-22,43
2019-12-29,52
2020-01-05,71
2020-01-12,86
2020-01-19,70
2020-01-26,73
2020-02-02,74
2020-02-09,54
2020-02-16,78
2020-02-23,68
2020-03-01,82
2020-03-08,53
