date,Learning_RO
2018-01-07,64
2018-01-14,61
2018-01-21,53
2018-01-28,70
2018-02-04,63
2018-02-11,83
2018-02-18,64
2018-02-25,45
2018-03-04,79
2018-03-11,62
2018-03-18,80
2018-03-25,76
2018-04-01,70
2018-04-08,55
2018-04-15,52
2018-04-22,64
2018-04-29,74
2018-05-06,56
2018-05-13,69
2018-05-20,58
2018-05-27,73
2018-06-03,66
2018-06-10,71
2018-06-17,70
2018-06-24,81
2018-07-01,66
2018-07-08,59
2018-07-15,55
2018-07-22,56
2018-07-29,58
2018-08-05,73
2018-08-12,54
2018-08-19,43
2018-08-26,50
2018-09-02,43
2018-09-09,76
2018-09-16,68
2018-09-23,54
2018-09-30,52
2018-10-07,84
2018-10-14,66
2018-10-21,87
2018-10-28,64
2018-11-04,62
2018-11-11,60
2018-11-18,48
2018-11-25,67
2018-12-02,100
2018-12-09,86
2018-12-16,52
2018-12-23,50
2018-12-30,50
2019-01-06,75
2019-01-13,84
2019-01-20,56
2019-01-27,78
2019-02-03,68
2019-02-10,63
2019-02-17,61
2019-02-24,65
2019-03-03,66
2019-03-10,70
2019-03-17,87
2019-03-24,85
2019-03-31,83
2019-04-07,82
2019-04-14,60
2019-04-21,46
2019-04-28,50
2019-05-05,53
2019-05-12,52
2019-05-19,45
2019-05-26,76
2019-06-02,73
2019-06-09,63
2019-06-16,51
2019-06-23,58
2019-06-30,67
2019-07-07,60
2019-07-14,62
2019-07-21,62
2019-07-28,40
2019-08-04,64
2019-08-11,41
2019-08-18,43
2019-08-25,60
2019-09-01,61
2019-09-08,66
2019-09-15,67
2019-09-22,79
2019-09-29,60
2019-10-06,59
2019-10-13,99
2019-10-20,82
2019-10-27,69
2019-11-03,77
2019-11-10,57
2019-11-17,64
2019-11-24,66
2019-12-01,57
2019-12-08,53
2019-12-15,69
2019-12-22,67
2019-12-29,63
2020-01-05,70
2020-01-12,82
2020-01-19,77
2020-01-26,70
2020-02-02,84
2020-02-09,66
2020-02-16,84
2020-02-23,43
2020-03-01,59
2020-03-08,71
