date,Music_JP
2018-01-07,79
2018-01-14,82
2018-01-21,79
2018-01-28,85
2018-02-04,81
2018-02-11,89
2018-02-18,84
2018-02-25,85
2018-03-04,90
2018-03-11,82
2018-03-18,87
2018-03-25,86
2018-04-01,87
2018-04-08,83
2018-04-15,91
2018-04-22,85
2018-04-29,90
2018-05-06,89
2018-05-13,84
2018-05-20,80
2018-05-27,89
2018-06-03,84
2018-06-10,81
2018-06-17,82
2018-06-24,87
2018-07-01,82
2018-07-08,81
2018-07-15,78
2018-07-22,77
2018-07-29,76
2018-08-05,80
2018-08-12,80
2018-08-19,82
2018-08-26,84
2018-09-02,80
2018-09-09,84
2018-09-16,88
2018-09-23,87
2018-09-30,78
2018-10-07,80
2018-10-14,81
2018-10-21,81
2018-10-28,79
2018-11-04,82
2018-11-11,86
2018-11-18,82
2018-11-25,83
2018-12-02,79
2018-12-09,79
2018-12-16,82
2018-12-23,80
2018-12-30,82
2019-01-06,85
2019-01-13,82
2019-01-20,79
2019-01-27,25
2019-02-03,15
2019-02-10,16
2019-02-17,15
2019-02-24,14
2019-03-03,15
2019-03-10,16
2019-03-17,14
2019-03-24,15
2019-03-31,68
2019-04-07,75
2019-04-14,82
2019-04-21,79
2019-04-28,85
2019-05-05,83
2019-05-12,79
2019-05-19,81
2019-05-26,84
2019-06-02,83
2019-06-09,83
2019-06-16,82
2019-06-23,91
2019-06-30,100
2019-07-07,81
2019-07-14,76
2019-07-21,72
2019-07-28,73
2019-08-04,76
2019-08-11,79
2019-08-18,79
2019-08-25,83
2019-09-01,78
2019-09-08,77
2019-09-15,78
2019-09-22,83
2019-09-29,80
2019-10-06,74
2019-10-13,84
2019-10-20,79
2019-10-27,82
2019-11-03,84
2019-11-10,79
2019-11-17,73
2019-11-24,84
2019-12-01,80
2019-12-08,77
2019-12-15,80
2019-12-22,80
2019-12-29,79
2020-01-05,77
2020-01-12,81
2020-01-19,82
2020-01-26,79
2020-02-02,80
2020-02-09,82
2020-02-16,79
2020-02-23,85
2020-03-01,85
2020-03-08,81
