date,Learning_IR
2018-01-07,61
2018-01-14,66
2018-01-21,43
2018-01-28,57
2018-02-04,47
2018-02-11,49
2018-02-18,48
2018-02-25,63
2018-03-04,60
2018-03-11,45
2018-03-18,26
2018-03-25,43
2018-04-01,40
2018-04-08,46
2018-04-15,50
2018-04-22,45
2018-04-29,44
2018-05-06,46
2018-05-13,46
2018-05-20,50
2018-05-27,43
2018-06-03,39
2018-06-10,38
2018-06-17,46
2018-06-24,53
2018-07-01,39
2018-07-08,61
2018-07-15,51
2018-07-22,46
2018-07-29,54
2018-08-05,59
2018-08-12,57
2018-08-19,44
2018-08-26,56
2018-09-02,45
2018-09-09,45
2018-09-16,49
2018-09-23,64
2018-09-30,55
2018-10-07,44
2018-10-14,55
2018-10-21,51
2018-10-28,45
2018-11-04,63
2018-11-11,46
2018-11-18,55
2018-11-25,50
2018-12-02,50
2018-12-09,48
2018-12-16,57
2018-12-23,47
2018-12-30,63
2019-01-06,51
2019-01-13,48
2019-01-20,47
2019-01-27,38
2019-02-03,51
2019-02-10,46
2019-02-17,39
2019-02-24,46
2019-03-03,45
2019-03-10,52
2019-03-17,27
2019-03-24,41
2019-03-31,48
2019-04-07,55
2019-04-14,41
2019-04-21,44
2019-04-28,45
2019-05-05,47
2019-05-12,46
2019-05-19,27
2019-05-26,42
2019-06-02,48
2019-06-09,35
2019-06-16,47
2019-06-23,31
2019-06-30,43
2019-07-07,51
2019-07-14,58
2019-07-21,50
2019-07-28,46
2019-08-04,42
2019-08-11,52
2019-08-18,46
2019-08-25,49
2019-09-01,42
2019-09-08,58
2019-09-15,49
2019-09-22,42
2019-09-29,48
2019-10-06,49
2019-10-13,42
2019-10-20,43
2019-10-27,36
2019-11-03,51
2019-11-10,54
2019-11-17,100
2019-11-24,48
2019-12-01,35
2019-12-08,41
2019-12-15,37
2019-12-22,44
2019-12-29,34
2020-01-05,31
2020-01-12,33
2020-01-19,48
2020-01-26,37
2020-02-02,39
2020-02-09,26
2020-02-16,36
2020-02-23,31
2020-03-01,35
2020-03-08,42
