date,Learning_AE
2018-01-07,84
2018-01-14,97
2018-01-21,95
2018-01-28,100
2018-02-04,82
2018-02-11,86
2018-02-18,83
2018-02-25,81
2018-03-04,81
2018-03-11,59
2018-03-18,89
2018-03-25,59
2018-04-01,60
2018-04-08,64
2018-04-15,80
2018-04-22,89
2018-04-29,78
2018-05-06,80
2018-05-13,74
2018-05-20,84
2018-05-27,84
2018-06-03,84
2018-06-10,62
2018-06-17,68
2018-06-24,71
2018-07-01,51
2018-07-08,40
2018-07-15,48
2018-07-22,55
2018-07-29,44
2018-08-05,33
2018-08-12,37
2018-08-19,44
2018-08-26,60
2018-09-02,71
2018-09-09,92
2018-09-16,87
2018-09-23,86
2018-09-30,88
2018-10-07,76
2018-10-14,86
2018-10-21,78
2018-10-28,96
2018-11-04,89
2018-11-11,83
2018-11-18,80
2018-11-25,72
2018-12-02,78
2018-12-09,66
2018-12-16,52
2018-12-23,46
2018-12-30,54
2019-01-06,83
2019-01-13,88
2019-01-20,79
2019-01-27,71
2019-02-03,99
2019-02-10,81
2019-02-17,81
2019-02-24,76
2019-03-03,66
2019-03-10,63
2019-03-17,66
2019-03-24,63
2019-03-31,60
2019-04-07,60
2019-04-14,62
2019-04-21,64
2019-04-28,70
2019-05-05,62
2019-05-12,84
2019-05-19,77
2019-05-26,55
2019-06-02,55
2019-06-09,85
2019-06-16,74
2019-06-23,66
2019-06-30,58
2019-07-07,51
2019-07-14,58
2019-07-21,39
2019-07-28,46
2019-08-04,41
2019-08-11,50
2019-08-18,57
2019-08-25,52
2019-09-01,65
2019-09-08,84
2019-09-15,84
2019-09-22,88
2019-09-29,98
2019-10-06,86
2019-10-13,80
2019-10-20,79
2019-10-27,84
2019-11-03,69
2019-11-10,59
2019-11-17,70
2019-11-24,72
2019-12-01,47
2019-12-08,65
2019-12-15,54
2019-12-22,49
2019-12-29,49
2020-01-05,64
2020-01-12,79
2020-01-19,69
2020-01-26,67
2020-02-02,76
2020-02-09,68
2020-02-16,85
2020-02-23,74
2020-03-01,80
2020-03-08,56
