date,Cooking_VN
2018-01-07,68
2018-01-14,63
2018-01-21,63
2018-01-28,66
2018-02-04,74
2018-02-11,100
2018-02-18,83
2018-02-25,81
2018-03-04,76
2018-03-11,78
2018-03-18,84
2018-03-25,77
2018-04-01,80
2018-04-08,82
2018-04-15,75
2018-04-22,82
2018-04-29,85
2018-05-06,79
2018-05-13,79
2018-05-20,82
2018-05-27,82
2018-06-03,87
2018-06-10,80
2018-06-17,76
2018-06-24,73
2018-07-01,73
2018-07-08,81
2018-07-15,86
2018-07-22,86
2018-07-29,84
2018-08-05,81
2018-08-12,79
2018-08-19,78
2018-08-26,76
2018-09-02,81
2018-09-09,77
2018-09-16,75
2018-09-23,67
2018-09-30,73
2018-10-07,78
2018-10-14,75
2018-10-21,72
2018-10-28,74
2018-11-04,71
2018-11-11,63
2018-11-18,71
2018-11-25,71
2018-12-02,68
2018-12-09,67
2018-12-16,62
2018-12-23,65
2018-12-30,71
2019-01-06,61
2019-01-13,57
2019-01-20,55
2019-01-27,19
2019-02-03,11
2019-02-10,10
2019-02-17,10
2019-02-24,9
2019-03-03,11
2019-03-10,9
2019-03-17,10
2019-03-24,10
2019-03-31,67
2019-04-07,71
2019-04-14,71
2019-04-21,70
2019-04-28,77
2019-05-05,78
2019-05-12,74
2019-05-19,75
2019-05-26,70
2019-06-02,71
2019-06-09,76
2019-06-16,74
2019-06-23,73
2019-06-30,72
2019-07-07,72
2019-07-14,72
2019-07-21,73
2019-07-28,64
2019-08-04,76
2019-08-11,76
2019-08-18,74
2019-08-25,65
2019-09-01,67
2019-09-08,69
2019-09-15,69
2019-09-22,74
2019-09-29,66
2019-10-06,68
2019-10-13,69
2019-10-20,71
2019-10-27,69
2019-11-03,69
2019-11-10,64
2019-11-17,65
2019-11-24,62
2019-12-01,60
2019-12-08,64
2019-12-15,64
2019-12-22,62
2019-12-29,61
2020-01-05,56
2020-01-12,54
2020-01-19,86
2020-01-26,64
2020-02-02,71
2020-02-09,78
2020-02-16,77
2020-02-23,79
2020-03-01,75
2020-03-08,75
