date,Crafts_FR
2018-01-07,86
2018-01-14,100
2018-01-21,99
2018-01-28,94
2018-02-04,83
2018-02-11,82
2018-02-18,85
2018-02-25,82
2018-03-04,98
2018-03-11,94
2018-03-18,84
2018-03-25,84
2018-04-01,77
2018-04-08,75
2018-04-15,70
2018-04-22,68
2018-04-29,63
2018-05-06,59
2018-05-13,73
2018-05-20,72
2018-05-27,75
2018-06-03,74
2018-06-10,70
2018-06-17,62
2018-06-24,59
2018-07-01,60
2018-07-08,59
2018-07-15,56
2018-07-22,53
2018-07-29,55
2018-08-05,46
2018-08-12,52
2018-08-19,63
2018-08-26,68
2018-09-02,85
2018-09-09,78
2018-09-16,83
2018-09-23,78
2018-09-30,79
2018-10-07,75
2018-10-14,79
2018-10-21,73
2018-10-28,62
2018-11-04,76
2018-11-11,85
2018-11-18,79
2018-11-25,82
2018-12-02,74
2018-12-09,71
2018-12-16,67
2018-12-23,52
2018-12-30,68
2019-01-06,84
2019-01-13,89
2019-01-20,89
2019-01-27,78
2019-02-03,77
2019-02-10,72
2019-02-17,74
2019-02-24,76
2019-03-03,74
2019-03-10,76
2019-03-17,77
2019-03-24,77
2019-03-31,86
2019-04-07,72
2019-04-14,65
2019-04-21,66
2019-04-28,65
2019-05-05,68
2019-05-12,78
2019-05-19,74
2019-05-26,67
2019-06-02,74
2019-06-09,64
2019-06-16,67
2019-06-23,59
2019-06-30,61
2019-07-07,57
2019-07-14,58
2019-07-21,48
2019-07-28,51
2019-08-04,45
2019-08-11,53
2019-08-18,59
2019-08-25,65
2019-09-01,74
2019-09-08,78
2019-09-15,73
2019-09-22,75
2019-09-29,81
2019-10-06,80
2019-10-13,78
2019-10-20,67
2019-10-27,66
2019-11-03,85
2019-11-10,76
2019-11-17,81
2019-11-24,72
2019-12-01,75
2019-12-08,67
2019-12-15,69
2019-12-22,48
2019-12-29,58
2020-01-05,82
2020-01-12,89
2020-01-19,99
2020-01-26,92
2020-02-02,93
2020-02-09,85
2020-02-16,82
2020-02-23,81
2020-03-01,86
2020-03-08,79
