date,Music_IT
2018-01-07,95
2018-01-14,90
2018-01-21,95
2018-01-28,91
2018-02-04,91
2018-02-11,88
2018-02-18,86
2018-02-25,81
2018-03-04,84
2018-03-11,90
2018-03-18,90
2018-03-25,86
2018-04-01,87
2018-04-08,86
2018-04-15,88
2018-04-22,81
2018-04-29,87
2018-05-06,91
2018-05-13,91
2018-05-20,89
2018-05-27,90
2018-06-03,93
2018-06-10,91
2018-06-17,100
2018-06-24,87
2018-07-01,79
2018-07-08,86
2018-07-15,82
2018-07-22,82
2018-07-29,87
2018-08-05,91
2018-08-12,89
2018-08-19,84
2018-08-26,80
2018-09-02,81
2018-09-09,92
2018-09-16,88
2018-09-23,85
2018-09-30,88
2018-10-07,85
2018-10-14,87
2018-10-21,86
2018-10-28,88
2018-11-04,89
2018-11-11,92
2018-11-18,91
2018-11-25,94
2018-12-02,91
2018-12-09,94
2018-12-16,95
2018-12-23,99
2018-12-30,93
2019-01-06,88
2019-01-13,89
2019-01-20,83
2019-01-27,86
2019-02-03,93
2019-02-10,89
2019-02-17,82
2019-02-24,84
2019-03-03,84
2019-03-10,81
2019-03-17,93
2019-03-24,87
2019-03-31,82
2019-04-07,84
2019-04-14,78
2019-04-21,82
2019-04-28,82
2019-05-05,83
2019-05-12,83
2019-05-19,82
2019-05-26,79
2019-06-02,93
2019-06-09,87
2019-06-16,90
2019-06-23,82
2019-06-30,83
2019-07-07,80
2019-07-14,85
2019-07-21,80
2019-07-28,84
2019-08-04,82
2019-08-11,85
2019-08-18,82
2019-08-25,79
2019-09-01,77
2019-09-08,77
2019-09-15,79
2019-09-22,80
2019-09-29,80
2019-10-06,86
2019-10-13,85
2019-10-20,89
2019-10-27,84
2019-11-03,83
2019-11-10,90
2019-11-17,90
2019-11-24,85
2019-12-01,88
2019-12-08,84
2019-12-15,89
2019-12-22,97
2019-12-29,89
2020-01-05,81
2020-01-12,87
2020-01-19,85
2020-01-26,79
2020-02-02,84
2020-02-09,88
2020-02-16,83
2020-02-23,73
2020-03-01,76
2020-03-08,73
