date,Crafts_CH
2018-01-07,54
2018-01-14,81
2018-01-21,86
2018-01-28,65
2018-02-04,73
2018-02-11,66
2018-02-18,55
2018-02-25,66
2018-03-04,69
2018-03-11,58
2018-03-18,66
2018-03-25,81
2018-04-01,75
2018-04-08,54
2018-04-15,87
2018-04-22,57
2018-04-29,58
2018-05-06,63
2018-05-13,78
2018-05-20,65
2018-05-27,53
2018-06-03,39
2018-06-10,64
2018-06-17,47
2018-06-24,61
2018-07-01,58
2018-07-08,40
2018-07-15,80
2018-07-22,30
2018-07-29,50
2018-08-05,73
2018-08-12,46
2018-08-19,61
2018-08-26,52
2018-09-02,48
2018-09-09,79
2018-09-16,79
2018-09-23,56
2018-09-30,82
2018-10-07,70
2018-10-14,52
2018-10-21,67
2018-10-28,76
2018-11-04,73
2018-11-11,59
2018-11-18,98
2018-11-25,99
2018-12-02,91
2018-12-09,81
2018-12-16,32
2018-12-23,29
2018-12-30,49
2019-01-06,64
2019-01-13,95
2019-01-20,77
2019-01-27,73
2019-02-03,71
2019-02-10,39
2019-02-17,83
2019-02-24,58
2019-03-03,42
2019-03-10,54
2019-03-17,82
2019-03-24,100
2019-03-31,65
2019-04-07,66
2019-04-14,58
2019-04-21,67
2019-04-28,56
2019-05-05,39
2019-05-12,45
2019-05-19,70
2019-05-26,48
2019-06-02,43
2019-06-09,38
2019-06-16,62
2019-06-23,59
2019-06-30,42
2019-07-07,42
2019-07-14,38
2019-07-21,50
2019-07-28,66
2019-08-04,58
2019-08-11,63
2019-08-18,68
2019-08-25,61
2019-09-01,69
2019-09-08,85
2019-09-15,67
2019-09-22,62
2019-09-29,60
2019-10-06,81
2019-10-13,64
2019-10-20,79
2019-10-27,67
2019-11-03,88
2019-11-10,95
2019-11-17,81
2019-11-24,71
2019-12-01,48
2019-12-08,64
2019-12-15,34
2019-12-22,49
2019-12-29,72
2020-01-05,67
2020-01-12,56
2020-01-19,80
2020-01-26,64
2020-02-02,76
2020-02-09,99
2020-02-16,69
2020-02-23,64
2020-03-01,51
2020-03-08,58
