date,Performing_Art_DE
2018-01-07,72
2018-01-14,59
2018-01-21,59
2018-01-28,47
2018-02-04,12
2018-02-11,12
2018-02-18,60
2018-02-25,48
2018-03-04,35
2018-03-11,72
2018-03-18,49
2018-03-25,51
2018-04-01,26
2018-04-08,25
2018-04-15,38
2018-04-22,49
2018-04-29,37
2018-05-06,38
2018-05-13,24
2018-05-20,13
2018-05-27,37
2018-06-03,98
2018-06-10,12
2018-06-17,59
2018-06-24,36
2018-07-01,12
2018-07-08,48
2018-07-15,100
2018-07-22,25
2018-07-29,50
2018-08-05,25
2018-08-12,25
2018-08-19,25
2018-08-26,0
2018-09-02,25
2018-09-09,24
2018-09-16,36
2018-09-23,48
2018-09-30,61
2018-10-07,48
2018-10-14,85
2018-10-21,47
2018-10-28,24
2018-11-04,12
2018-11-11,36
2018-11-18,46
2018-11-25,23
2018-12-02,35
2018-12-09,81
2018-12-16,24
2018-12-23,0
2018-12-30,37
2019-01-06,45
2019-01-13,33
2019-01-20,33
2019-01-27,66
2019-02-03,23
2019-02-10,23
2019-02-17,35
2019-02-24,35
2019-03-03,57
2019-03-10,11
2019-03-17,12
2019-03-24,12
2019-03-31,23
2019-04-07,79
2019-04-14,13
2019-04-21,12
2019-04-28,46
2019-05-05,68
2019-05-12,34
2019-05-19,11
2019-05-26,12
2019-06-02,57
2019-06-09,47
2019-06-16,12
2019-06-23,0
2019-06-30,0
2019-07-07,46
2019-07-14,12
2019-07-21,13
2019-07-28,24
2019-08-04,37
2019-08-11,93
2019-08-18,24
2019-08-25,35
2019-09-01,34
2019-09-08,46
2019-09-15,35
2019-09-22,78
2019-09-29,34
2019-10-06,78
2019-10-13,22
2019-10-20,43
2019-10-27,32
2019-11-03,52
2019-11-10,54
2019-11-17,74
2019-11-24,42
2019-12-01,32
2019-12-08,21
2019-12-15,55
2019-12-22,25
2019-12-29,23
2020-01-05,21
2020-01-12,30
2020-01-19,31
2020-01-26,20
2020-02-02,0
2020-02-09,69
2020-02-16,31
2020-02-23,40
2020-03-01,10
2020-03-08,28
