date,Pets_PL
2018-01-07,29
2018-01-14,24
2018-01-21,39
2018-01-28,24
2018-02-04,32
2018-02-11,34
2018-02-18,27
2018-02-25,24
2018-03-04,31
2018-03-11,31
2018-03-18,33
2018-03-25,30
2018-04-01,46
2018-04-08,29
2018-04-15,33
2018-04-22,40
2018-04-29,27
2018-05-06,24
2018-05-13,27
2018-05-20,34
2018-05-27,20
2018-06-03,28
2018-06-10,26
2018-06-17,20
2018-06-24,31
2018-07-01,14
2018-07-08,38
2018-07-15,25
2018-07-22,29
2018-07-29,22
2018-08-05,35
2018-08-12,39
2018-08-19,25
2018-08-26,43
2018-09-02,29
2018-09-09,35
2018-09-16,31
2018-09-23,37
2018-09-30,39
2018-10-07,32
2018-10-14,45
2018-10-21,45
2018-10-28,46
2018-11-04,51
2018-11-11,44
2018-11-18,31
2018-11-25,44
2018-12-02,43
2018-12-09,36
2018-12-16,39
2018-12-23,40
2018-12-30,31
2019-01-06,33
2019-01-13,36
2019-01-20,24
2019-01-27,93
2019-02-03,82
2019-02-10,87
2019-02-17,93
2019-02-24,87
2019-03-03,70
2019-03-10,100
2019-03-17,89
2019-03-24,81
2019-03-31,39
2019-04-07,25
2019-04-14,36
2019-04-21,30
2019-04-28,25
2019-05-05,31
2019-05-12,35
2019-05-19,24
2019-05-26,32
2019-06-02,34
2019-06-09,36
2019-06-16,35
2019-06-23,34
2019-06-30,58
2019-07-07,41
2019-07-14,47
2019-07-21,33
2019-07-28,38
2019-08-04,34
2019-08-11,39
2019-08-18,39
2019-08-25,37
2019-09-01,24
2019-09-08,33
2019-09-15,37
2019-09-22,36
2019-09-29,27
2019-10-06,28
2019-10-13,29
2019-10-20,42
2019-10-27,36
2019-11-03,38
2019-11-10,55
2019-11-17,54
2019-11-24,50
2019-12-01,40
2019-12-08,40
2019-12-15,26
2019-12-22,41
2019-12-29,44
2020-01-05,37
2020-01-12,26
2020-01-19,44
2020-01-26,37
2020-02-02,28
2020-02-09,39
2020-02-16,48
2020-02-23,43
2020-03-01,47
2020-03-08,39
