date,Learning_CA
2018-01-07,96
2018-01-14,89
2018-01-21,91
2018-01-28,89
2018-02-04,88
2018-02-11,87
2018-02-18,78
2018-02-25,84
2018-03-04,84
2018-03-11,85
2018-03-18,83
2018-03-25,70
2018-04-01,75
2018-04-08,84
2018-04-15,78
2018-04-22,83
2018-04-29,67
2018-05-06,75
2018-05-13,67
2018-05-20,72
2018-05-27,72
2018-06-03,76
2018-06-10,70
2018-06-17,69
2018-06-24,68
2018-07-01,61
2018-07-08,66
2018-07-15,66
2018-07-22,69
2018-07-29,66
2018-08-05,55
2018-08-12,62
2018-08-19,62
2018-08-26,66
2018-09-02,84
2018-09-09,100
2018-09-16,96
2018-09-23,93
2018-09-30,88
2018-10-07,83
2018-10-14,88
2018-10-21,85
2018-10-28,87
2018-11-04,91
2018-11-11,81
2018-11-18,84
2018-11-25,85
2018-12-02,92
2018-12-09,84
2018-12-16,65
2018-12-23,52
2018-12-30,62
2019-01-06,93
2019-01-13,86
2019-01-20,83
2019-01-27,87
2019-02-03,91
2019-02-10,80
2019-02-17,76
2019-02-24,81
2019-03-03,83
2019-03-10,79
2019-03-17,77
2019-03-24,84
2019-03-31,80
2019-04-07,79
2019-04-14,68
2019-04-21,67
2019-04-28,72
2019-05-05,69
2019-05-12,69
2019-05-19,67
2019-05-26,74
2019-06-02,69
2019-06-09,68
2019-06-16,72
2019-06-23,70
2019-06-30,63
2019-07-07,60
2019-07-14,70
2019-07-21,63
2019-07-28,60
2019-08-04,54
2019-08-11,65
2019-08-18,61
2019-08-25,71
2019-09-01,85
2019-09-08,97
2019-09-15,93
2019-09-22,98
2019-09-29,89
2019-10-06,87
2019-10-13,83
2019-10-20,89
2019-10-27,89
2019-11-03,89
2019-11-10,82
2019-11-17,91
2019-11-24,80
2019-12-01,86
2019-12-08,75
2019-12-15,67
2019-12-22,47
2019-12-29,58
2020-01-05,87
2020-01-12,88
2020-01-19,92
2020-01-26,84
2020-02-02,89
2020-02-09,89
2020-02-16,86
2020-02-23,82
2020-03-01,87
2020-03-08,86
