date,Learning_AT
2018-01-07,54
2018-01-14,43
2018-01-21,64
2018-01-28,46
2018-02-04,83
2018-02-11,54
2018-02-18,57
2018-02-25,46
2018-03-04,100
2018-03-11,59
2018-03-18,59
2018-03-25,65
2018-04-01,35
2018-04-08,65
2018-04-15,34
2018-04-22,31
2018-04-29,61
2018-05-06,38
2018-05-13,48
2018-05-20,32
2018-05-27,42
2018-06-03,72
2018-06-10,19
2018-06-17,27
2018-06-24,30
2018-07-01,41
2018-07-08,20
2018-07-15,29
2018-07-22,39
2018-07-29,38
2018-08-05,39
2018-08-12,65
2018-08-19,39
2018-08-26,51
2018-09-02,36
2018-09-09,64
2018-09-16,61
2018-09-23,44
2018-09-30,53
2018-10-07,61
2018-10-14,44
2018-10-21,42
2018-10-28,31
2018-11-04,62
2018-11-11,56
2018-11-18,56
2018-11-25,42
2018-12-02,69
2018-12-09,56
2018-12-16,39
2018-12-23,43
2018-12-30,48
2019-01-06,28
2019-01-13,40
2019-01-20,48
2019-01-27,84
2019-02-03,71
2019-02-10,52
2019-02-17,65
2019-02-24,67
2019-03-03,95
2019-03-10,68
2019-03-17,88
2019-03-24,80
2019-03-31,29
2019-04-07,36
2019-04-14,58
2019-04-21,36
2019-04-28,48
2019-05-05,49
2019-05-12,40
2019-05-19,51
2019-05-26,47
2019-06-02,46
2019-06-09,71
2019-06-16,58
2019-06-23,39
2019-06-30,47
2019-07-07,55
2019-07-14,53
2019-07-21,28
2019-07-28,58
2019-08-04,51
2019-08-11,30
2019-08-18,38
2019-08-25,54
2019-09-01,56
2019-09-08,53
2019-09-15,51
2019-09-22,28
2019-09-29,61
2019-10-06,64
2019-10-13,39
2019-10-20,62
2019-10-27,67
2019-11-03,53
2019-11-10,44
2019-11-17,47
2019-11-24,55
2019-12-01,72
2019-12-08,56
2019-12-15,48
2019-12-22,33
2019-12-29,42
2020-01-05,53
2020-01-12,79
2020-01-19,69
2020-01-26,59
2020-02-02,58
2020-02-09,72
2020-02-16,63
2020-02-23,49
2020-03-01,70
2020-03-08,39
