date,Game_EG
2018-01-07,90
2018-01-14,100
2018-01-21,99
2018-01-28,87
2018-02-04,58
2018-02-11,58
2018-02-18,58
2018-02-25,60
2018-03-04,60
2018-03-11,58
2018-03-18,55
2018-03-25,66
2018-04-01,77
2018-04-08,88
2018-04-15,64
2018-04-22,62
2018-04-29,68
2018-05-06,83
2018-05-13,93
2018-05-20,93
2018-05-27,93
2018-06-03,94
2018-06-10,76
2018-06-17,80
2018-06-24,79
2018-07-01,80
2018-07-08,74
2018-07-15,77
2018-07-22,73
2018-07-29,68
2018-08-05,65
2018-08-12,67
2018-08-19,71
2018-08-26,61
2018-09-02,60
2018-09-09,62
2018-09-16,59
2018-09-23,42
2018-09-30,41
2018-10-07,43
2018-10-14,40
2018-10-21,42
2018-10-28,42
2018-11-04,44
2018-11-11,46
2018-11-18,49
2018-11-25,49
2018-12-02,50
2018-12-09,51
2018-12-16,50
2018-12-23,53
2018-12-30,57
2019-01-06,60
2019-01-13,72
2019-01-20,82
2019-01-27,75
2019-02-03,68
2019-02-10,49
2019-02-17,51
2019-02-24,50
2019-03-03,51
2019-03-10,48
2019-03-17,48
2019-03-24,51
2019-03-31,49
2019-04-07,50
2019-04-14,49
2019-04-21,52
2019-04-28,52
2019-05-05,73
2019-05-12,83
2019-05-19,75
2019-05-26,72
2019-06-02,63
2019-06-09,71
2019-06-16,66
2019-06-23,64
2019-06-30,65
2019-07-07,63
2019-07-14,65
2019-07-21,64
2019-07-28,59
2019-08-04,59
2019-08-11,57
2019-08-18,53
2019-08-25,52
2019-09-01,51
2019-09-08,48
2019-09-15,44
2019-09-22,33
2019-09-29,35
2019-10-06,37
2019-10-13,35
2019-10-20,36
2019-10-27,34
2019-11-03,37
2019-11-10,38
2019-11-17,37
2019-11-24,38
2019-12-01,37
2019-12-08,38
2019-12-15,38
2019-12-22,39
2019-12-29,40
2020-01-05,43
2020-01-12,53
2020-01-19,55
2020-01-26,51
2020-02-02,49
2020-02-09,41
2020-02-16,44
2020-02-23,42
2020-03-01,44
2020-03-08,47
