date,Learning_MX
2018-01-07,63
2018-01-14,71
2018-01-21,54
2018-01-28,75
2018-02-04,74
2018-02-11,85
2018-02-18,81
2018-02-25,79
2018-03-04,72
2018-03-11,74
2018-03-18,56
2018-03-25,43
2018-04-01,55
2018-04-08,77
2018-04-15,68
2018-04-22,71
2018-04-29,59
2018-05-06,53
2018-05-13,60
2018-05-20,67
2018-05-27,63
2018-06-03,64
2018-06-10,58
2018-06-17,58
2018-06-24,52
2018-07-01,49
2018-07-08,53
2018-07-15,47
2018-07-22,52
2018-07-29,60
2018-08-05,79
2018-08-12,62
2018-08-19,63
2018-08-26,80
2018-09-02,80
2018-09-09,64
2018-09-16,83
2018-09-23,86
2018-09-30,74
2018-10-07,88
2018-10-14,82
2018-10-21,72
2018-10-28,68
2018-11-04,67
2018-11-11,76
2018-11-18,78
2018-11-25,65
2018-12-02,51
2018-12-09,50
2018-12-16,38
2018-12-23,35
2018-12-30,44
2019-01-06,65
2019-01-13,73
2019-01-20,76
2019-01-27,72
2019-02-03,79
2019-02-10,69
2019-02-17,72
2019-02-24,66
2019-03-03,76
2019-03-10,69
2019-03-17,63
2019-03-24,71
2019-03-31,72
2019-04-07,63
2019-04-14,47
2019-04-21,68
2019-04-28,70
2019-05-05,68
2019-05-12,63
2019-05-19,62
2019-05-26,76
2019-06-02,66
2019-06-09,67
2019-06-16,71
2019-06-23,76
2019-06-30,72
2019-07-07,65
2019-07-14,58
2019-07-21,59
2019-07-28,49
2019-08-04,56
2019-08-11,69
2019-08-18,63
2019-08-25,77
2019-09-01,99
2019-09-08,88
2019-09-15,99
2019-09-22,90
2019-09-29,85
2019-10-06,100
2019-10-13,84
2019-10-20,76
2019-10-27,68
2019-11-03,89
2019-11-10,85
2019-11-17,80
2019-11-24,76
2019-12-01,79
2019-12-08,53
2019-12-15,52
2019-12-22,40
2019-12-29,33
2020-01-05,63
2020-01-12,69
2020-01-19,72
2020-01-26,76
2020-02-02,80
2020-02-09,88
2020-02-16,82
2020-02-23,97
2020-03-01,81
2020-03-08,70
