date,Learning_CN
2018-01-07,84
2018-01-14,78
2018-01-21,75
2018-01-28,51
2018-02-04,56
2018-02-11,17
2018-02-18,69
2018-02-25,72
2018-03-04,84
2018-03-11,85
2018-03-18,61
2018-03-25,57
2018-04-01,55
2018-04-08,91
2018-04-15,83
2018-04-22,61
2018-04-29,58
2018-05-06,70
2018-05-13,58
2018-05-20,74
2018-05-27,58
2018-06-03,94
2018-06-10,64
2018-06-17,74
2018-06-24,55
2018-07-01,69
2018-07-08,79
2018-07-15,64
2018-07-22,55
2018-07-29,86
2018-08-05,91
2018-08-12,68
2018-08-19,62
2018-08-26,67
2018-09-02,85
2018-09-09,68
2018-09-16,80
2018-09-23,72
2018-09-30,60
2018-10-07,89
2018-10-14,59
2018-10-21,67
2018-10-28,91
2018-11-04,83
2018-11-11,79
2018-11-18,79
2018-11-25,85
2018-12-02,69
2018-12-09,90
2018-12-16,74
2018-12-23,74
2018-12-30,68
2019-01-06,100
2019-01-13,89
2019-01-20,74
2019-01-27,42
2019-02-03,30
2019-02-10,32
2019-02-17,52
2019-02-24,69
2019-03-03,69
2019-03-10,61
2019-03-17,80
2019-03-24,68
2019-03-31,67
2019-04-07,79
2019-04-14,79
2019-04-21,71
2019-04-28,63
2019-05-05,69
2019-05-12,72
2019-05-19,64
2019-05-26,60
2019-06-02,53
2019-06-09,60
2019-06-16,57
2019-06-23,54
2019-06-30,56
2019-07-07,47
2019-07-14,46
2019-07-21,55
2019-07-28,46
2019-08-04,50
2019-08-11,70
2019-08-18,41
2019-08-25,47
2019-09-01,48
2019-09-08,53
2019-09-15,56
2019-09-22,54
2019-09-29,23
2019-10-06,47
2019-10-13,65
2019-10-20,71
2019-10-27,49
2019-11-03,54
2019-11-10,39
2019-11-17,63
2019-11-24,51
2019-12-01,60
2019-12-08,43
2019-12-15,66
2019-12-22,58
2019-12-29,50
2020-01-05,55
2020-01-12,40
2020-01-19,38
2020-01-26,10
2020-02-02,36
2020-02-09,48
2020-02-16,48
2020-02-23,65
2020-03-01,40
2020-03-08,52
