date,Game_CA
2018-01-07,45
2018-01-14,46
2018-01-21,48
2018-01-28,44
2018-02-04,47
2018-02-11,48
2018-02-18,55
2018-02-25,45
2018-03-04,43
2018-03-11,44
2018-03-18,42
2018-03-25,46
2018-04-01,44
2018-04-08,46
2018-04-15,54
2018-04-22,55
2018-04-29,48
2018-05-06,49
2018-05-13,45
2018-05-20,41
2018-05-27,45
2018-06-03,44
2018-06-10,41
2018-06-17,45
2018-06-24,43
2018-07-01,39
2018-07-08,36
2018-07-15,34
2018-07-22,35
2018-07-29,35
2018-08-05,34
2018-08-12,32
2018-08-19,34
2018-08-26,33
2018-09-02,35
2018-09-09,36
2018-09-16,40
2018-09-23,40
2018-09-30,43
2018-10-07,43
2018-10-14,44
2018-10-21,43
2018-10-28,47
2018-11-04,45
2018-11-11,46
2018-11-18,48
2018-11-25,49
2018-12-02,50
2018-12-09,50
2018-12-16,54
2018-12-23,58
2018-12-30,54
2019-01-06,47
2019-01-13,46
2019-01-20,47
2019-01-27,44
2019-02-03,43
2019-02-10,42
2019-02-17,46
2019-02-24,44
2019-03-03,45
2019-03-10,41
2019-03-17,44
2019-03-24,43
2019-03-31,43
2019-04-07,45
2019-04-14,57
2019-04-21,53
2019-04-28,43
2019-05-05,44
2019-05-12,47
2019-05-19,52
2019-05-26,63
2019-06-02,86
2019-06-09,100
2019-06-16,37
2019-06-23,36
2019-06-30,34
2019-07-07,33
2019-07-14,31
2019-07-21,31
2019-07-28,31
2019-08-04,34
2019-08-11,33
2019-08-18,34
2019-08-25,35
2019-09-01,35
2019-09-08,36
2019-09-15,38
2019-09-22,39
2019-09-29,41
2019-10-06,44
2019-10-13,45
2019-10-20,46
2019-10-27,48
2019-11-03,45
2019-11-10,49
2019-11-17,51
2019-11-24,51
2019-12-01,50
2019-12-08,54
2019-12-15,55
2019-12-22,60
2019-12-29,59
2020-01-05,51
2020-01-12,48
2020-01-19,47
2020-01-26,48
2020-02-02,45
2020-02-09,46
2020-02-16,48
2020-02-23,45
2020-03-01,45
2020-03-08,41
