date,Crafts_PE
2018-01-07,42
2018-01-14,35
2018-01-21,41
2018-01-28,71
2018-02-04,53
2018-02-11,18
2018-02-18,59
2018-02-25,23
2018-03-04,34
2018-03-11,50
2018-03-18,41
2018-03-25,40
2018-04-01,56
2018-04-08,40
2018-04-15,55
2018-04-22,64
2018-04-29,58
2018-05-06,36
2018-05-13,41
2018-05-20,60
2018-05-27,69
2018-06-03,100
2018-06-10,48
2018-06-17,89
2018-06-24,69
2018-07-01,58
2018-07-08,87
2018-07-15,41
2018-07-22,33
2018-07-29,16
2018-08-05,54
2018-08-12,41
2018-08-19,56
2018-08-26,75
2018-09-02,45
2018-09-09,85
2018-09-16,30
2018-09-23,41
2018-09-30,41
2018-10-07,46
2018-10-14,42
2018-10-21,58
2018-10-28,45
2018-11-04,87
2018-11-11,57
2018-11-18,52
2018-11-25,62
2018-12-02,87
2018-12-09,56
2018-12-16,43
2018-12-23,28
2018-12-30,35
2019-01-06,56
2019-01-13,55
2019-01-20,36
2019-01-27,42
2019-02-03,61
2019-02-10,84
2019-02-17,95
2019-02-24,65
2019-03-03,42
2019-03-10,58
2019-03-17,83
2019-03-24,69
2019-03-31,64
2019-04-07,95
2019-04-14,56
2019-04-21,98
2019-04-28,48
2019-05-05,59
2019-05-12,59
2019-05-19,51
2019-05-26,64
2019-06-02,59
2019-06-09,64
2019-06-16,53
2019-06-23,68
2019-06-30,65
2019-07-07,75
2019-07-14,62
2019-07-21,40
2019-07-28,56
2019-08-04,34
2019-08-11,32
2019-08-18,51
2019-08-25,47
2019-09-01,60
2019-09-08,44
2019-09-15,69
2019-09-22,80
2019-09-29,49
2019-10-06,47
2019-10-13,49
2019-10-20,39
2019-10-27,37
2019-11-03,69
2019-11-10,58
2019-11-17,59
2019-11-24,58
2019-12-01,45
2019-12-08,63
2019-12-15,49
2019-12-22,57
2019-12-29,43
2020-01-05,33
2020-01-12,43
2020-01-19,11
2020-01-26,26
2020-02-02,38
2020-02-09,32
2020-02-16,58
2020-02-23,21
2020-03-01,46
2020-03-08,35
