date,Music_MY
2018-01-07,92
2018-01-14,93
2018-01-21,92
2018-01-28,91
2018-02-04,85
2018-02-11,100
2018-02-18,78
2018-02-25,84
2018-03-04,84
2018-03-11,82
2018-03-18,86
2018-03-25,88
2018-04-01,90
2018-04-08,82
2018-04-15,86
2018-04-22,84
2018-04-29,85
2018-05-06,78
2018-05-13,81
2018-05-20,82
2018-05-27,75
2018-06-03,70
2018-06-10,85
2018-06-17,75
2018-06-24,75
2018-07-01,92
2018-07-08,78
2018-07-15,89
2018-07-22,81
2018-07-29,80
2018-08-05,91
2018-08-12,80
2018-08-19,80
2018-08-26,76
2018-09-02,72
2018-09-09,88
2018-09-16,80
2018-09-23,82
2018-09-30,89
2018-10-07,90
2018-10-14,90
2018-10-21,93
2018-10-28,83
2018-11-04,78
2018-11-11,89
2018-11-18,82
2018-11-25,77
2018-12-02,78
2018-12-09,71
2018-12-16,81
2018-12-23,85
2018-12-30,79
2019-01-06,73
2019-01-13,74
2019-01-20,82
2019-01-27,70
2019-02-03,68
2019-02-10,69
2019-02-17,69
2019-02-24,73
2019-03-03,74
2019-03-10,72
2019-03-17,69
2019-03-24,74
2019-03-31,73
2019-04-07,78
2019-04-14,76
2019-04-21,80
2019-04-28,93
2019-05-05,71
2019-05-12,71
2019-05-19,73
2019-05-26,74
2019-06-02,72
2019-06-09,68
2019-06-16,80
2019-06-23,70
2019-06-30,86
2019-07-07,83
2019-07-14,82
2019-07-21,79
2019-07-28,81
2019-08-04,73
2019-08-11,67
2019-08-18,77
2019-08-25,81
2019-09-01,74
2019-09-08,74
2019-09-15,69
2019-09-22,66
2019-09-29,69
2019-10-06,73
2019-10-13,69
2019-10-20,70
2019-10-27,71
2019-11-03,77
2019-11-10,78
2019-11-17,83
2019-11-24,77
2019-12-01,74
2019-12-08,73
2019-12-15,76
2019-12-22,81
2019-12-29,82
2020-01-05,79
2020-01-12,69
2020-01-19,79
2020-01-26,69
2020-02-02,73
2020-02-09,75
2020-02-16,83
2020-02-23,78
2020-03-01,77
2020-03-08,74
