date,Arts_MY
2018-01-07,82
2018-01-14,86
2018-01-21,79
2018-01-28,82
2018-02-04,100
2018-02-11,79
2018-02-18,83
2018-02-25,72
2018-03-04,85
2018-03-11,88
2018-03-18,79
2018-03-25,79
2018-04-01,68
2018-04-08,77
2018-04-15,77
2018-04-22,78
2018-04-29,73
2018-05-06,51
2018-05-13,64
2018-05-20,87
2018-05-27,69
2018-06-03,69
2018-06-10,61
2018-06-17,53
2018-06-24,67
2018-07-01,77
2018-07-08,80
2018-07-15,75
2018-07-22,79
2018-07-29,83
2018-08-05,84
2018-08-12,77
2018-08-19,67
2018-08-26,62
2018-09-02,66
2018-09-09,80
2018-09-16,80
2018-09-23,86
2018-09-30,91
2018-10-07,85
2018-10-14,91
2018-10-21,70
2018-10-28,74
2018-11-04,68
2018-11-11,68
2018-11-18,66
2018-11-25,66
2018-12-02,62
2018-12-09,62
2018-12-16,62
2018-12-23,55
2018-12-30,74
2019-01-06,80
2019-01-13,76
2019-01-20,77
2019-01-27,69
2019-02-03,69
2019-02-10,71
2019-02-17,80
2019-02-24,79
2019-03-03,76
2019-03-10,89
2019-03-17,85
2019-03-24,64
2019-03-31,72
2019-04-07,67
2019-04-14,77
2019-04-21,67
2019-04-28,60
2019-05-05,76
2019-05-12,72
2019-05-19,63
2019-05-26,57
2019-06-02,54
2019-06-09,67
2019-06-16,72
2019-06-23,72
2019-06-30,72
2019-07-07,73
2019-07-14,65
2019-07-21,71
2019-07-28,74
2019-08-04,65
2019-08-11,68
2019-08-18,72
2019-08-25,61
2019-09-01,71
2019-09-08,76
2019-09-15,68
2019-09-22,72
2019-09-29,73
2019-10-06,70
2019-10-13,82
2019-10-20,71
2019-10-27,57
2019-11-03,64
2019-11-10,60
2019-11-17,68
2019-11-24,60
2019-12-01,55
2019-12-08,57
2019-12-15,54
2019-12-22,55
2019-12-29,78
2020-01-05,72
2020-01-12,72
2020-01-19,67
2020-01-26,57
2020-02-02,71
2020-02-09,76
2020-02-16,74
2020-02-23,80
2020-03-01,80
2020-03-08,73
