date,Pets_MY
2018-01-07,63
2018-01-14,63
2018-01-21,69
2018-01-28,68
2018-02-04,56
2018-02-11,53
2018-02-18,66
2018-02-25,61
2018-03-04,82
2018-03-11,85
2018-03-18,57
2018-03-25,59
2018-04-01,52
2018-04-08,63
2018-04-15,87
2018-04-22,60
2018-04-29,53
2018-05-06,57
2018-05-13,63
2018-05-20,49
2018-05-27,67
2018-06-03,50
2018-06-10,87
2018-06-17,52
2018-06-24,60
2018-07-01,64
2018-07-08,67
2018-07-15,61
2018-07-22,69
2018-07-29,69
2018-08-05,67
2018-08-12,85
2018-08-19,71
2018-08-26,63
2018-09-02,58
2018-09-09,84
2018-09-16,77
2018-09-23,90
2018-09-30,75
2018-10-07,88
2018-10-14,86
2018-10-21,70
2018-10-28,59
2018-11-04,65
2018-11-11,80
2018-11-18,80
2018-11-25,80
2018-12-02,75
2018-12-09,64
2018-12-16,74
2018-12-23,80
2018-12-30,90
2019-01-06,63
2019-01-13,85
2019-01-20,75
2019-01-27,73
2019-02-03,84
2019-02-10,58
2019-02-17,61
2019-02-24,63
2019-03-03,63
2019-03-10,62
2019-03-17,70
2019-03-24,70
2019-03-31,67
2019-04-07,77
2019-04-14,84
2019-04-21,69
2019-04-28,74
2019-05-05,71
2019-05-12,65
2019-05-19,91
2019-05-26,81
2019-06-02,83
2019-06-09,85
2019-06-16,70
2019-06-23,82
2019-06-30,87
2019-07-07,83
2019-07-14,81
2019-07-21,62
2019-07-28,100
2019-08-04,68
2019-08-11,76
2019-08-18,83
2019-08-25,71
2019-09-01,79
2019-09-08,85
2019-09-15,81
2019-09-22,66
2019-09-29,55
2019-10-06,79
2019-10-13,66
2019-10-20,72
2019-10-27,71
2019-11-03,68
2019-11-10,78
2019-11-17,70
2019-11-24,69
2019-12-01,75
2019-12-08,54
2019-12-15,58
2019-12-22,89
2019-12-29,83
2020-01-05,86
2020-01-12,69
2020-01-19,77
2020-01-26,78
2020-02-02,77
2020-02-09,89
2020-02-16,94
2020-02-23,81
2020-03-01,79
2020-03-08,86
