date,Arts_PK
2018-01-07,82
2018-01-14,88
2018-01-21,95
2018-01-28,82
2018-02-04,67
2018-02-11,100
2018-02-18,92
2018-02-25,81
2018-03-04,97
2018-03-11,90
2018-03-18,86
2018-03-25,97
2018-04-01,83
2018-04-08,78
2018-04-15,89
2018-04-22,91
2018-04-29,83
2018-05-06,77
2018-05-13,91
2018-05-20,88
2018-05-27,93
2018-06-03,70
2018-06-10,57
2018-06-17,53
2018-06-24,61
2018-07-01,76
2018-07-08,48
2018-07-15,61
2018-07-22,66
2018-07-29,85
2018-08-05,77
2018-08-12,76
2018-08-19,65
2018-08-26,73
2018-09-02,88
2018-09-09,74
2018-09-16,83
2018-09-23,79
2018-09-30,95
2018-10-07,78
2018-10-14,82
2018-10-21,86
2018-10-28,89
2018-11-04,73
2018-11-11,98
2018-11-18,86
2018-11-25,79
2018-12-02,71
2018-12-09,87
2018-12-16,72
2018-12-23,67
2018-12-30,71
2019-01-06,82
2019-01-13,80
2019-01-20,81
2019-01-27,65
2019-02-03,83
2019-02-10,87
2019-02-17,86
2019-02-24,76
2019-03-03,69
2019-03-10,83
2019-03-17,95
2019-03-24,77
2019-03-31,86
2019-04-07,88
2019-04-14,77
2019-04-21,81
2019-04-28,82
2019-05-05,88
2019-05-12,82
2019-05-19,65
2019-05-26,62
2019-06-02,52
2019-06-09,65
2019-06-16,69
2019-06-23,51
2019-06-30,59
2019-07-07,67
2019-07-14,78
2019-07-21,80
2019-07-28,77
2019-08-04,67
2019-08-11,62
2019-08-18,88
2019-08-25,77
2019-09-01,93
2019-09-08,76
2019-09-15,88
2019-09-22,85
2019-09-29,80
2019-10-06,82
2019-10-13,86
2019-10-20,88
2019-10-27,91
2019-11-03,73
2019-11-10,85
2019-11-17,81
2019-11-24,73
2019-12-01,80
2019-12-08,82
2019-12-15,81
2019-12-22,65
2019-12-29,66
2020-01-05,72
2020-01-12,78
2020-01-19,91
2020-01-26,84
2020-02-02,78
2020-02-09,92
2020-02-16,85
2020-02-23,82
2020-03-01,78
2020-03-08,65
