date,Performing_Art_VN
2018-01-07,0
2018-01-14,14
2018-01-21,18
2018-01-28,45
2018-02-04,100
2018-02-11,18
2018-02-18,67
2018-02-25,23
2018-03-04,14
2018-03-11,36
2018-03-18,14
2018-03-25,14
2018-04-01,9
2018-04-08,26
2018-04-15,14
2018-04-22,27
2018-04-29,19
2018-05-06,9
2018-05-13,9
2018-05-20,5
2018-05-27,0
2018-06-03,5
2018-06-10,4
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,4
2018-07-15,9
2018-07-22,0
2018-07-29,4
2018-08-05,13
2018-08-12,8
2018-08-19,0
2018-08-26,13
2018-09-02,9
2018-09-09,0
2018-09-16,9
2018-09-23,5
2018-09-30,9
2018-10-07,5
2018-10-14,5
2018-10-21,9
2018-10-28,10
2018-11-04,9
2018-11-11,9
2018-11-18,19
2018-11-25,19
2018-12-02,5
2018-12-09,9
2018-12-16,27
2018-12-23,18
2018-12-30,23
2019-01-06,9
2019-01-13,9
2019-01-20,0
2019-01-27,5
2019-02-03,18
2019-02-10,61
2019-02-17,99
2019-02-24,29
2019-03-03,43
2019-03-10,46
2019-03-17,20
2019-03-24,4
2019-03-31,4
2019-04-07,22
2019-04-14,30
2019-04-21,38
2019-04-28,22
2019-05-05,21
2019-05-12,30
2019-05-19,4
2019-05-26,12
2019-06-02,4
2019-06-09,12
2019-06-16,20
2019-06-23,11
2019-06-30,15
2019-07-07,12
2019-07-14,19
2019-07-21,28
2019-07-28,23
2019-08-04,4
2019-08-11,12
2019-08-18,0
2019-08-25,16
2019-09-01,8
2019-09-08,12
2019-09-15,15
2019-09-22,8
2019-09-29,8
2019-10-06,12
2019-10-13,4
2019-10-20,12
2019-10-27,16
2019-11-03,0
2019-11-10,22
2019-11-17,15
2019-11-24,11
2019-12-01,18
2019-12-08,23
2019-12-15,26
2019-12-22,15
2019-12-29,12
2020-01-05,19
2020-01-12,8
2020-01-19,5
2020-01-26,18
2020-02-02,22
2020-02-09,18
2020-02-16,14
2020-02-23,17
2020-03-01,7
2020-03-08,20
