date,Crafts_FI
2018-01-07,69
2018-01-14,48
2018-01-21,55
2018-01-28,27
2018-02-04,47
2018-02-11,28
2018-02-18,35
2018-02-25,42
2018-03-04,49
2018-03-11,48
2018-03-18,21
2018-03-25,64
2018-04-01,14
2018-04-08,34
2018-04-15,21
2018-04-22,47
2018-04-29,90
2018-05-06,43
2018-05-13,56
2018-05-20,36
2018-05-27,37
2018-06-03,43
2018-06-10,42
2018-06-17,43
2018-06-24,70
2018-07-01,35
2018-07-08,36
2018-07-15,36
2018-07-22,72
2018-07-29,34
2018-08-05,27
2018-08-12,60
2018-08-19,60
2018-08-26,27
2018-09-02,47
2018-09-09,33
2018-09-16,100
2018-09-23,27
2018-09-30,61
2018-10-07,35
2018-10-14,71
2018-10-21,63
2018-10-28,61
2018-11-04,40
2018-11-11,90
2018-11-18,73
2018-11-25,41
2018-12-02,26
2018-12-09,95
2018-12-16,43
2018-12-23,54
2018-12-30,54
2019-01-06,52
2019-01-13,47
2019-01-20,58
2019-01-27,58
2019-02-03,100
2019-02-10,52
2019-02-17,60
2019-02-24,51
2019-03-03,86
2019-03-10,86
2019-03-17,93
2019-03-24,72
2019-03-31,74
2019-04-07,68
2019-04-14,34
2019-04-21,48
2019-04-28,32
2019-05-05,77
2019-05-12,26
2019-05-19,26
2019-05-26,60
2019-06-02,40
2019-06-09,26
2019-06-16,56
2019-06-23,58
2019-06-30,46
2019-07-07,46
2019-07-14,34
2019-07-21,57
2019-07-28,40
2019-08-04,39
2019-08-11,37
2019-08-18,67
2019-08-25,50
2019-09-01,18
2019-09-08,67
2019-09-15,19
2019-09-22,76
2019-09-29,61
2019-10-06,50
2019-10-13,57
2019-10-20,37
2019-10-27,74
2019-11-03,49
2019-11-10,30
2019-11-17,37
2019-11-24,41
2019-12-01,91
2019-12-08,56
2019-12-15,51
2019-12-22,83
2019-12-29,44
2020-01-05,36
2020-01-12,51
2020-01-19,36
2020-01-26,52
2020-02-02,18
2020-02-09,36
2020-02-16,41
2020-02-23,42
2020-03-01,65
2020-03-08,34
