date,Pets_IN
2018-01-07,94
2018-01-14,88
2018-01-21,85
2018-01-28,82
2018-02-04,84
2018-02-11,79
2018-02-18,87
2018-02-25,79
2018-03-04,79
2018-03-11,81
2018-03-18,86
2018-03-25,85
2018-04-01,82
2018-04-08,81
2018-04-15,76
2018-04-22,78
2018-04-29,78
2018-05-06,77
2018-05-13,86
2018-05-20,85
2018-05-27,86
2018-06-03,88
2018-06-10,81
2018-06-17,80
2018-06-24,80
2018-07-01,78
2018-07-08,75
2018-07-15,80
2018-07-22,83
2018-07-29,87
2018-08-05,79
2018-08-12,73
2018-08-19,81
2018-08-26,85
2018-09-02,76
2018-09-09,79
2018-09-16,74
2018-09-23,79
2018-09-30,78
2018-10-07,78
2018-10-14,77
2018-10-21,78
2018-10-28,69
2018-11-04,73
2018-11-11,83
2018-11-18,85
2018-11-25,88
2018-12-02,80
2018-12-09,78
2018-12-16,82
2018-12-23,92
2018-12-30,71
2019-01-06,95
2019-01-13,86
2019-01-20,83
2019-01-27,80
2019-02-03,79
2019-02-10,87
2019-02-17,84
2019-02-24,76
2019-03-03,75
2019-03-10,88
2019-03-17,93
2019-03-24,94
2019-03-31,90
2019-04-07,89
2019-04-14,81
2019-04-21,78
2019-04-28,82
2019-05-05,86
2019-05-12,96
2019-05-19,94
2019-05-26,94
2019-06-02,87
2019-06-09,85
2019-06-16,83
2019-06-23,85
2019-06-30,78
2019-07-07,85
2019-07-14,91
2019-07-21,87
2019-07-28,91
2019-08-04,81
2019-08-11,90
2019-08-18,99
2019-08-25,86
2019-09-01,86
2019-09-08,88
2019-09-15,92
2019-09-22,87
2019-09-29,86
2019-10-06,84
2019-10-13,79
2019-10-20,80
2019-10-27,86
2019-11-03,87
2019-11-10,90
2019-11-17,91
2019-11-24,92
2019-12-01,91
2019-12-08,91
2019-12-15,86
2019-12-22,95
2019-12-29,93
2020-01-05,95
2020-01-12,93
2020-01-19,88
2020-01-26,85
2020-02-02,100
2020-02-09,86
2020-02-16,96
2020-02-23,94
2020-03-01,87
2020-03-08,91
