date,Arts_IN
2018-01-07,43
2018-01-14,43
2018-01-21,41
2018-01-28,44
2018-02-04,46
2018-02-11,43
2018-02-18,43
2018-02-25,41
2018-03-04,44
2018-03-11,44
2018-03-18,43
2018-03-25,43
2018-04-01,43
2018-04-08,40
2018-04-15,44
2018-04-22,40
2018-04-29,42
2018-05-06,43
2018-05-13,47
2018-05-20,54
2018-05-27,100
2018-06-03,61
2018-06-10,51
2018-06-17,49
2018-06-24,51
2018-07-01,43
2018-07-08,42
2018-07-15,43
2018-07-22,40
2018-07-29,42
2018-08-05,40
2018-08-12,39
2018-08-19,38
2018-08-26,39
2018-09-02,42
2018-09-09,41
2018-09-16,39
2018-09-23,42
2018-09-30,42
2018-10-07,41
2018-10-14,38
2018-10-21,39
2018-10-28,39
2018-11-04,36
2018-11-11,38
2018-11-18,38
2018-11-25,40
2018-12-02,42
2018-12-09,39
2018-12-16,41
2018-12-23,39
2018-12-30,37
2019-01-06,39
2019-01-13,39
2019-01-20,41
2019-01-27,42
2019-02-03,43
2019-02-10,37
2019-02-17,41
2019-02-24,41
2019-03-03,40
2019-03-10,42
2019-03-17,40
2019-03-24,43
2019-03-31,41
2019-04-07,39
2019-04-14,39
2019-04-21,38
2019-04-28,39
2019-05-05,43
2019-05-12,52
2019-05-19,90
2019-05-26,49
2019-06-02,44
2019-06-09,42
2019-06-16,41
2019-06-23,43
2019-06-30,40
2019-07-07,40
2019-07-14,42
2019-07-21,42
2019-07-28,41
2019-08-04,39
2019-08-11,38
2019-08-18,40
2019-08-25,41
2019-09-01,41
2019-09-08,41
2019-09-15,41
2019-09-22,41
2019-09-29,36
2019-10-06,36
2019-10-13,38
2019-10-20,36
2019-10-27,35
2019-11-03,38
2019-11-10,40
2019-11-17,42
2019-11-24,41
2019-12-01,39
2019-12-08,42
2019-12-15,38
2019-12-22,39
2019-12-29,37
2020-01-05,41
2020-01-12,41
2020-01-19,44
2020-01-26,44
2020-02-02,44
2020-02-09,42
2020-02-16,47
2020-02-23,43
2020-03-01,41
2020-03-08,37
