date,Sports_FR
2018-01-07,85
2018-01-14,87
2018-01-21,89
2018-01-28,80
2018-02-04,79
2018-02-11,97
2018-02-18,91
2018-02-25,81
2018-03-04,90
2018-03-11,83
2018-03-18,76
2018-03-25,77
2018-04-01,83
2018-04-08,79
2018-04-15,79
2018-04-22,81
2018-04-29,76
2018-05-06,76
2018-05-13,70
2018-05-20,72
2018-05-27,84
2018-06-03,85
2018-06-10,82
2018-06-17,97
2018-06-24,86
2018-07-01,81
2018-07-08,79
2018-07-15,75
2018-07-22,69
2018-07-29,72
2018-08-05,77
2018-08-12,78
2018-08-19,82
2018-08-26,89
2018-09-02,93
2018-09-09,93
2018-09-16,100
2018-09-23,85
2018-09-30,85
2018-10-07,76
2018-10-14,73
2018-10-21,78
2018-10-28,76
2018-11-04,82
2018-11-11,71
2018-11-18,69
2018-11-25,73
2018-12-02,70
2018-12-09,74
2018-12-16,74
2018-12-23,65
2018-12-30,71
2019-01-06,85
2019-01-13,79
2019-01-20,82
2019-01-27,72
2019-02-03,68
2019-02-10,71
2019-02-17,69
2019-02-24,69
2019-03-03,68
2019-03-10,68
2019-03-17,62
2019-03-24,65
2019-03-31,72
2019-04-07,80
2019-04-14,74
2019-04-21,73
2019-04-28,75
2019-05-05,77
2019-05-12,71
2019-05-19,69
2019-05-26,86
2019-06-02,89
2019-06-09,72
2019-06-16,71
2019-06-23,72
2019-06-30,70
2019-07-07,74
2019-07-14,72
2019-07-21,69
2019-07-28,65
2019-08-04,71
2019-08-11,79
2019-08-18,78
2019-08-25,86
2019-09-01,97
2019-09-08,92
2019-09-15,91
2019-09-22,83
2019-09-29,90
2019-10-06,78
2019-10-13,77
2019-10-20,85
2019-10-27,82
2019-11-03,79
2019-11-10,79
2019-11-17,78
2019-11-24,84
2019-12-01,83
2019-12-08,79
2019-12-15,75
2019-12-22,66
2019-12-29,69
2020-01-05,82
2020-01-12,84
2020-01-19,82
2020-01-26,84
2020-02-02,90
2020-02-09,79
2020-02-16,87
2020-02-23,86
2020-03-01,83
2020-03-08,80
