date,Performing_Art_BE
2018-01-07,54
2018-01-14,49
2018-01-21,66
2018-01-28,87
2018-02-04,53
2018-02-11,58
2018-02-18,63
2018-02-25,36
2018-03-04,54
2018-03-11,60
2018-03-18,52
2018-03-25,36
2018-04-01,55
2018-04-08,53
2018-04-15,29
2018-04-22,46
2018-04-29,45
2018-05-06,52
2018-05-13,40
2018-05-20,37
2018-05-27,36
2018-06-03,21
2018-06-10,31
2018-06-17,19
2018-06-24,30
2018-07-01,25
2018-07-08,32
2018-07-15,35
2018-07-22,35
2018-07-29,36
2018-08-05,34
2018-08-12,44
2018-08-19,26
2018-08-26,32
2018-09-02,44
2018-09-09,47
2018-09-16,48
2018-09-23,45
2018-09-30,74
2018-10-07,63
2018-10-14,59
2018-10-21,73
2018-10-28,71
2018-11-04,71
2018-11-11,62
2018-11-18,51
2018-11-25,60
2018-12-02,87
2018-12-09,65
2018-12-16,78
2018-12-23,88
2018-12-30,65
2019-01-06,62
2019-01-13,71
2019-01-20,49
2019-01-27,22
2019-02-03,4
2019-02-10,11
2019-02-17,6
2019-02-24,2
2019-03-03,10
2019-03-10,11
2019-03-17,6
2019-03-24,2
2019-03-31,28
2019-04-07,44
2019-04-14,22
2019-04-21,41
2019-04-28,42
2019-05-05,46
2019-05-12,48
2019-05-19,38
2019-05-26,31
2019-06-02,46
2019-06-09,32
2019-06-16,30
2019-06-23,24
2019-06-30,30
2019-07-07,45
2019-07-14,43
2019-07-21,42
2019-07-28,45
2019-08-04,34
2019-08-11,45
2019-08-18,40
2019-08-25,34
2019-09-01,28
2019-09-08,47
2019-09-15,51
2019-09-22,68
2019-09-29,51
2019-10-06,70
2019-10-13,44
2019-10-20,73
2019-10-27,81
2019-11-03,70
2019-11-10,57
2019-11-17,62
2019-11-24,81
2019-12-01,74
2019-12-08,63
2019-12-15,76
2019-12-22,100
2019-12-29,89
2020-01-05,68
2020-01-12,82
2020-01-19,56
2020-01-26,63
2020-02-02,65
2020-02-09,58
2020-02-16,54
2020-02-23,46
2020-03-01,58
2020-03-08,63
