date,Crafts_GB
2018-01-07,66
2018-01-14,66
2018-01-21,66
2018-01-28,69
2018-02-04,66
2018-02-11,71
2018-02-18,70
2018-02-25,67
2018-03-04,75
2018-03-11,72
2018-03-18,67
2018-03-25,72
2018-04-01,61
2018-04-08,63
2018-04-15,55
2018-04-22,56
2018-04-29,57
2018-05-06,60
2018-05-13,51
2018-05-20,54
2018-05-27,58
2018-06-03,57
2018-06-10,59
2018-06-17,56
2018-06-24,53
2018-07-01,53
2018-07-08,56
2018-07-15,60
2018-07-22,53
2018-07-29,58
2018-08-05,62
2018-08-12,62
2018-08-19,62
2018-08-26,68
2018-09-02,62
2018-09-09,70
2018-09-16,73
2018-09-23,67
2018-09-30,74
2018-10-07,76
2018-10-14,73
2018-10-21,80
2018-10-28,85
2018-11-04,90
2018-11-11,89
2018-11-18,88
2018-11-25,100
2018-12-02,88
2018-12-09,82
2018-12-16,75
2018-12-23,56
2018-12-30,56
2019-01-06,66
2019-01-13,71
2019-01-20,70
2019-01-27,73
2019-02-03,70
2019-02-10,69
2019-02-17,67
2019-02-24,60
2019-03-03,72
2019-03-10,69
2019-03-17,72
2019-03-24,71
2019-03-31,68
2019-04-07,69
2019-04-14,61
2019-04-21,62
2019-04-28,61
2019-05-05,57
2019-05-12,53
2019-05-19,56
2019-05-26,60
2019-06-02,58
2019-06-09,67
2019-06-16,60
2019-06-23,57
2019-06-30,57
2019-07-07,57
2019-07-14,58
2019-07-21,53
2019-07-28,63
2019-08-04,67
2019-08-11,70
2019-08-18,63
2019-08-25,59
2019-09-01,62
2019-09-08,68
2019-09-15,60
2019-09-22,67
2019-09-29,78
2019-10-06,82
2019-10-13,77
2019-10-20,89
2019-10-27,86
2019-11-03,85
2019-11-10,82
2019-11-17,85
2019-11-24,87
2019-12-01,87
2019-12-08,72
2019-12-15,72
2019-12-22,52
2019-12-29,60
2020-01-05,63
2020-01-12,71
2020-01-19,64
2020-01-26,65
2020-02-02,61
2020-02-09,71
2020-02-16,71
2020-02-23,63
2020-03-01,64
2020-03-08,64
