date,Game_VN
2018-01-07,52
2018-01-14,52
2018-01-21,50
2018-01-28,54
2018-02-04,59
2018-02-11,100
2018-02-18,72
2018-02-25,49
2018-03-04,48
2018-03-11,51
2018-03-18,49
2018-03-25,49
2018-04-01,47
2018-04-08,46
2018-04-15,47
2018-04-22,51
2018-04-29,54
2018-05-06,49
2018-05-13,55
2018-05-20,59
2018-05-27,64
2018-06-03,60
2018-06-10,56
2018-06-17,50
2018-06-24,52
2018-07-01,52
2018-07-08,53
2018-07-15,56
2018-07-22,56
2018-07-29,54
2018-08-05,52
2018-08-12,48
2018-08-19,44
2018-08-26,43
2018-09-02,45
2018-09-09,38
2018-09-16,37
2018-09-23,40
2018-09-30,41
2018-10-07,38
2018-10-14,38
2018-10-21,36
2018-10-28,39
2018-11-04,37
2018-11-11,36
2018-11-18,39
2018-11-25,36
2018-12-02,37
2018-12-09,36
2018-12-16,37
2018-12-23,39
2018-12-30,43
2019-01-06,36
2019-01-13,37
2019-01-20,36
2019-01-27,55
2019-02-03,71
2019-02-10,40
2019-02-17,40
2019-02-24,41
2019-03-03,38
2019-03-10,38
2019-03-17,40
2019-03-24,36
2019-03-31,37
2019-04-07,35
2019-04-14,38
2019-04-21,34
2019-04-28,41
2019-05-05,37
2019-05-12,40
2019-05-19,44
2019-05-26,49
2019-06-02,44
2019-06-09,46
2019-06-16,45
2019-06-23,45
2019-06-30,45
2019-07-07,45
2019-07-14,45
2019-07-21,45
2019-07-28,46
2019-08-04,45
2019-08-11,44
2019-08-18,39
2019-08-25,38
2019-09-01,39
2019-09-08,35
2019-09-15,34
2019-09-22,34
2019-09-29,35
2019-10-06,35
2019-10-13,35
2019-10-20,34
2019-10-27,36
2019-11-03,35
2019-11-10,35
2019-11-17,34
2019-11-24,33
2019-12-01,34
2019-12-08,33
2019-12-15,35
2019-12-22,36
2019-12-29,37
2020-01-05,34
2020-01-12,35
2020-01-19,53
2020-01-26,49
2020-02-02,43
2020-02-09,46
2020-02-16,44
2020-02-23,47
2020-03-01,45
2020-03-08,43
